REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发展中物业(增加)减少,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,除税前溢利(业务利润),非运算项目
2016-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2016-01-01 00:00:00,,3023827200.0,7460100000.0,,-4277124000.0,1571594400.0,6631200.0,3083508000.0,,,,,-4336804800.0,-2287764000.0,2347444800.0,59680800.0,,,,,,14635058400.0,13348605600.0,,,,,,,,,,,,,,,66312000.0,,,,13262400.0,26524800.0,,,7294320000.0,6465420000.0,-99468000.0,,26524800.0,,,6167016000.0
2016-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2016-01-01 00:00:00,13874000.0,4425806000.0,7804125000.0,,249732000.0,3565618000.0,55496000.0,7790251000.0,2580564000.0,,13874000.0,,-11605601000.0,-978117000.0,12833450000.0,11855333000.0,,15303022000.0,34685000.0,16308887000.0,1186227000.0,27942236000.0,20977488000.0,,,-110992000.0,69370000.0,228921000.0,97118000.0,-69370000.0,499464000.0,1269471000.0,326039000.0,,,,,-249732000.0,62433000.0,1283345000.0,,41622000.0,76307000.0,62433000.0,-582708000.0,9351076000.0,12001010000.0,-263606000.0,-548023000.0,228921000.0,,11813711000.0,15580502000.0
2017-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2017-01-01 00:00:00,6774400.0,3543011200.0,7607651200.0,,-4281420800.0,1524240000.0,54195200.0,3583657600.0,,22606172800.0,,,-961964800.0,-3685273600.0,365817600.0,-3319456000.0,995836800.0,,,,,20004803200.0,,,,,,,,,,,,,,,,60969600.0,,,,13548800.0,13548800.0,,,3563334400.0,2255875200.0,257427200.0,,27097600.0,,,7167315200.0
2017-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2017-01-01 00:00:00,71876200.0,4364845600.0,7337906600.0,,895185400.0,3463126000.0,385517800.0,8357241800.0,2541803800.0,,,,-3861712200.0,-5122812800.0,9879710400.0,4756897600.0,1914520600.0,13676080600.0,32671000.0,15773558800.0,2861979600.0,26901301400.0,27319490200.0,-65342000.0,,78410400.0,78410400.0,143752400.0,52273600.0,84944600.0,490065000.0,1293771600.0,2045204600.0,,,39205200.0,,-65342000.0,-1215361200.0,934390600.0,,78410400.0,45739400.0,169889200.0,-1104279800.0,3652617800.0,3528468000.0,124149800.0,52273600.0,26136800.0,,9807834200.0,16714483600.0
2018-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2018-01-01 00:00:00,59549400.0,3625896800.0,8462631400.0,,-4750718800.0,2157011600.0,52932800.0,3533264400.0,,,,,-2415059000.0,-3222284200.0,886624400.0,-2335659800.0,390379400.0,,,,,17302409000.0,18519863400.0,,19849800.0,,,,,,,,,,,,,119098800.0,,,,13233200.0,13233200.0,,,2640023400.0,1766632200.0,-178648200.0,,46316200.0,,,7066528800.0
2018-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2018-01-01 00:00:00,61768800.0,5456244000.0,8778032800.0,,-5161126400.0,5566055200.0,157853600.0,3321788800.0,2999218400.0,,-185306400.0,,-5421928000.0,-8352514400.0,8613316000.0,260801600.0,452971200.0,11036025600.0,864763200.0,14948049600.0,1605988800.0,59394132800.0,59421585600.0,,34316000.0,-13726400.0,82358400.0,240212000.0,,102948000.0,878489600.0,789268000.0,144127200.0,-171580000.0,,,,96084800.0,-2223676800.0,816720800.0,,41179200.0,34316000.0,178443200.0,-1695210400.0,6629851200.0,4296363200.0,-295117600.0,,20589600.0,144127200.0,9683975200.0,3321788800.0
2019-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2019-01-01 00:00:00,192491600.0,2440518500.0,3327354800.0,,-976207400.0,1869918400.0,13749400.0,2344272700.0,,,-247489200.0,,-6874700.0,-3712338000.0,2743005300.0,-969332700.0,790590500.0,,,,,9652078800.0,12278214200.0,,371233800.0,,,,,,,,,,,20624100.0,,130619300.0,,,,6874700.0,,,,2976745100.0,2110532900.0,-6874700.0,,34373500.0,89371100.0,,4688545400.0
2019-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2019-01-01 00:00:00,216262200.0,3236956800.0,3376480800.0,,516238800.0,4743816000.0,837144000.0,3850862400.0,4053172200.0,,118595400.0,,-4136886600.0,-5553055200.0,10206180600.0,4653125400.0,816215400.0,12829231800.0,83714400.0,19317097800.0,1625454600.0,17119594800.0,17140523400.0,265095600.0,809239200.0,111619200.0,97666800.0,397643400.0,,167428800.0,579024600.0,1004572800.0,55809600.0,-502286400.0,,20928600.0,,76738200.0,-7799391600.0,997596600.0,,41857200.0,,1834740600.0,-20928600.0,6592509000.0,5650722000.0,-41857200.0,,348810000.0,390667200.0,14315162400.0,3850862400.0
2020-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2020-01-01 00:00:00,49556500.0,1005289000.0,3907884000.0,,6414027000.0,1599967000.0,7079500.0,10258195500.0,,,219464500.0,,-1245992000.0,-969891500.0,8629910500.0,7660019000.0,,,,,,14654565000.0,14803234500.0,28318000.0,417690500.0,,,,,,,,,,,,,-35397500.0,,,,21238500.0,,,,3504352500.0,3978679000.0,-63715500.0,,21238500.0,84954000.0,,20516391000.0
2020-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2020-01-01 00:00:00,6622773500.0,5513540500.0,3601744800.0,,5970283500.0,3595219900.0,130498000.0,10133169700.0,4202035600.0,,156597600.0,,-3125427100.0,-6283478700.0,15379189300.0,9095710600.0,587241000.0,18954834500.0,1331079600.0,15646710200.0,2727408200.0,24748945700.0,21395147100.0,84823700.0,861286800.0,-45674300.0,110923300.0,104398400.0,,189222100.0,1011359500.0,880861500.0,,-123973100.0,,,,-84823700.0,769938200.0,848237000.0,,65249000.0,13049800.0,1774772800.0,887386400.0,13369520100.0,11059705500.0,561141400.0,,19574700.0,156597600.0,8580243500.0,20266339400.0
2021-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2021-01-01 00:00:00,19380300.0,1795907800.0,10032535300.0,,956094800.0,2060771900.0,45220700.0,11008010400.0,,,12920200.0,,-1253259400.0,12920200.0,2196434000.0,2209354200.0,342385300.0,,,,,11253494200.0,12610115200.0,,394066100.0,,,,,,,,,,,,,96901500.0,,,439286800.0,58140900.0,19380300.0,,,4767553800.0,6970447900.0,19380300.0,,,19380300.0,,11008010400.0
2021-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2021-01-01 00:00:00,12751400.0,3921055500.0,9901462100.0,12311476700.0,-127514000.0,5878395400.0,82884100.0,9920589200.0,4329100300.0,-57381300.0,76508400.0,,-10003473300.0,-2607661300.0,12483620600.0,9875959300.0,414420500.0,14319822200.0,943603600.0,16819096600.0,1836201600.0,25362534600.0,33281154000.0,,784211100.0,-25502800.0,191271000.0,216773800.0,,153016800.0,357039200.0,886222300.0,,-108386900.0,,6375700.0,,82884100.0,-2435517400.0,,867095200.0,140265400.0,51005600.0,1128498900.0,-1083869000.0,10143738700.0,13465478400.0,146641100.0,,,70132700.0,10838690000.0,9920589200.0
2022-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2022-01-01 00:00:00,,1416105400.0,10442938400.0,,-3637578800.0,2899324800.0,13422800.0,6496635200.0,,,13422800.0,,-2791942400.0,-1073824000.0,228187600.0,-845636400.0,-107382400.0,,,,,12899310800.0,12355687400.0,,389261200.0,,,,,,,,,,,6711400.0,,-114093800.0,,,449663800.0,100671000.0,20134200.0,,,3006707200.0,4731537000.0,-308724400.0,,,40268400.0,,12993270400.0
2022-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2022-01-01 00:00:00,,4248406000.0,10836917600.0,,-619849400.0,6602440800.0,243761000.0,9708652400.0,5585609200.0,-410911400.0,13929200.0,,-10739413200.0,-2437610000.0,12557173800.0,10119563800.0,62681400.0,15684279200.0,1734185400.0,20315738200.0,3127105400.0,30191541000.0,25977958000.0,27858400.0,821822800.0,3280326600.0,257690200.0,27858400.0,,55716800.0,591991000.0,1177017400.0,,146256600.0,,6964600.0,4220547600.0,-250725600.0,-3147999200.0,,1051654600.0,243761000.0,41787600.0,1455601400.0,-975044000.0,8260015600.0,8176440400.0,-508415800.0,-2110273800.0,,229831800.0,14848527200.0,9708652400.0
2023-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2023-01-01 00:00:00,,1163353800.0,10072765200.0,,-4068125400.0,3157674600.0,1531869600.0,5903478600.0,,,43354800.0,,-1459611600.0,-2622965400.0,14451600.0,-2608513800.0,252903000.0,,,,,43362025800.0,44055702600.0,,354064200.0,,,,,,,,,,14451600.0,,65032200.0,101161200.0,,,621418800.0,195096600.0,36129000.0,,,10701409800.0,9639217200.0,-101161200.0,,,122838600.0,,11806957200.0
2023-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2023-01-01 00:00:00,,5375769300.0,9873283800.0,,-1565276700.0,5666160000.0,1586524800.0,8187601200.0,5517423300.0,-120405900.0,141654000.0,-14165400.0,-8322172500.0,-4695830100.0,11452725900.0,6756895800.0,332886900.0,14384963700.0,-106240500.0,15496947600.0,2932237800.0,82810928400.0,81819350400.0,-56661600.0,665773800.0,587864100.0,347052300.0,-269142600.0,,-1267803300.0,800345100.0,1196976300.0,,269142600.0,,,92075100.0,0.0,-1119066600.0,,1154480100.0,318721500.0,99157800.0,-2684343300.0,2089396500.0,20908130400.0,20150281500.0,-120405900.0,332886900.0,,120405900.0,7486413900.0,16375202400.0
2024-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2024-01-01 00:00:00,,3663175200.0,8238580800.0,,-2629789200.0,2487253200.0,21380400.0,5487636000.0,,,14253600.0,,-4268953200.0,-3271201200.0,4910365200.0,1639164000.0,584397600.0,,,,,18665089200.0,19099824000.0,,456115200.0,,,,,,,,,,,,,28507200.0,,,498876000.0,114028800.0,28507200.0,,,7133926800.0,6749079600.0,-121155600.0,,85521600.0,21380400.0,,10975272000.0
2024-12-31,00288.HK,00288,万洲国际,10372808,001,12-31,2024-01-01 00:00:00,,5635705600.0,8309790400.0,,6634893200.0,5082198800.0,769158800.0,14736220000.0,5197213200.0,-100637600.0,86260800.0,,-7073385600.0,-4399300800.0,18107579600.0,13708278800.0,747593600.0,21191403200.0,-201275200.0,23096329200.0,3083823600.0,27912557200.0,28128209200.0,-50318800.0,575072000.0,129391200.0,258782400.0,79072400.0,,150956400.0,337854800.0,1056694800.0,,230028800.0,,,,179710000.0,1416114800.0,,977622400.0,258782400.0,57507200.0,-1876172400.0,-898550000.0,13197902400.0,13363235600.0,-208463600.0,-776347200.0,,35942000.0,17324044000.0,29472440000.0
2025-06-30,00288.HK,00288,万洲国际,10372808,002,12-31,2025-01-01 00:00:00,,7917411600.0,14675130000.0,,-1496147400.0,2075994000.0,200440800.0,13114555200.0,,,28634400.0,,-1052314200.0,-5934479400.0,5490646200.0,-443833200.0,,,,,,14123917800.0,17939451600.0,,279185400.0,,,,,,,,,,,,,-5726880000.0,,,493943400.0,272026800.0,7158600.0,,,5734038600.0,7151441400.0,-64427400.0,,-3822692400.0,57268800.0,,26229110400.0
