date,open,high,low,close,volume
2022-08-17,4.0794,4.2357,4.0571,4.1017,29527982.0
2022-08-18,4.1389,4.258,4.0645,4.1017,36571065.0
2022-08-19,4.0868,4.1092,3.9231,4.0645,25841387.0
2022-08-22,4.0496,4.1315,4.0124,4.0347,28484711.0
2022-08-23,4.0422,4.0645,3.9379,3.9677,22661167.0
2022-08-24,3.9826,4.0049,3.8561,3.9156,24576780.0
2022-08-25,4.1538,4.1538,3.9752,4.0571,15407924.0
2022-08-26,4.0571,4.0943,3.9901,4.0422,16809032.0
2022-08-29,4.0121,4.0797,3.9821,4.0797,11591920.0
2022-08-30,4.0572,4.0572,3.952,4.0572,12567252.0
2022-08-31,4.0271,4.0872,4.0271,4.0271,23501887.0
2022-09-01,3.9745,3.9971,3.937,3.9595,17807939.0
2022-09-02,3.937,3.967,3.8543,3.922,22188371.0
2022-09-05,3.8919,3.967,3.8694,3.952,9778483.0
2022-09-06,3.9595,3.967,3.9069,3.9069,13542000.0
2022-09-07,3.8919,3.952,3.8318,3.952,12235044.0
2022-09-08,3.9745,3.9821,3.8393,3.8543,11001500.0
2022-09-09,3.8393,3.9295,3.7792,3.9069,8421421.0
2022-09-13,3.8994,4.1248,3.8994,4.0722,25062451.0
2022-09-14,3.9745,4.0647,3.9745,4.0422,24268126.0
2022-09-15,4.0347,4.0647,4.0046,4.0271,16919206.0
2022-09-16,4.0046,4.0647,4.0046,4.0497,32229757.0
2022-09-19,4.0497,4.1023,3.967,3.9745,17488454.0
2022-09-20,4.0422,4.1098,4.0422,4.0797,34542216.0
2022-09-21,4.0422,4.0872,4.0196,4.0422,18369186.0
2022-09-22,4.0422,4.1323,4.0271,4.1098,23669595.0
2022-09-23,4.1023,4.1023,3.9445,3.9445,21244379.0
2022-09-26,3.9069,3.9445,3.8243,3.8543,16671813.0
2022-09-27,3.8919,3.9295,3.8393,3.922,21285956.0
2022-09-28,3.9445,3.9445,3.7116,3.7341,20044635.0
2022-09-29,3.7341,3.7717,3.6515,3.689,13663033.0
2022-09-30,3.7191,3.7867,3.689,3.7191,20084242.0
2022-10-03,3.6214,3.6966,3.6064,3.659,16509796.0
2022-10-05,3.9445,3.9445,3.7867,3.9069,33412471.0
2022-10-06,3.9144,3.9295,3.8318,3.8468,15629483.0
2022-10-07,3.8393,3.8618,3.8168,3.8393,16448514.0
2022-10-10,3.7717,3.8543,3.7567,3.8093,12121021.0
2022-10-11,3.8318,3.8769,3.7491,3.7642,19490514.0
2022-10-12,3.7717,3.8093,3.6515,3.6966,26169500.0
2022-10-13,3.674,3.674,3.5839,3.6139,17866786.0
2022-10-14,3.6364,3.689,3.5688,3.5688,13303547.0
2022-10-17,3.6139,3.674,3.5989,3.6139,16953518.0
2022-10-18,3.6364,3.6515,3.5388,3.5688,12331123.0
2022-10-19,3.5463,3.644,3.5313,3.5313,8060992.0
2022-10-20,3.5162,3.5313,3.4411,3.4561,20375991.0
2022-10-21,3.4937,3.5463,3.4411,3.5087,8572559.0
2022-10-24,3.4636,3.4862,3.3434,3.3509,20301622.0
2022-10-25,3.4411,3.4411,3.2908,3.381,20851722.0
2022-10-26,3.1932,3.2833,3.103,3.2007,57381886.0
2022-10-27,3.2007,3.2533,3.1481,3.1706,23444613.0
2022-10-28,3.1556,3.1631,3.0128,3.0128,29215466.0
2022-10-31,3.0053,3.0654,2.9678,2.9828,30900907.0
2022-11-01,2.9903,3.0654,2.9828,3.0279,22214474.0
2022-11-02,3.0204,3.1255,2.9828,3.103,20185819.0
2022-11-03,3.0504,3.0654,2.9903,3.0128,27805599.0
2022-11-04,3.0579,3.2608,3.0354,3.2082,36661566.0
2022-11-07,3.1631,3.2983,3.1556,3.2683,19723642.0
2022-11-08,3.2758,3.3209,3.2232,3.2608,19898557.0
2022-11-09,3.2307,3.2983,3.1781,3.2007,17774805.0
2022-11-10,3.1932,3.2157,3.1255,3.2082,23933573.0
2022-11-11,3.3509,3.4712,3.3359,3.4336,33140686.0
2022-11-14,3.4787,3.5237,3.3284,3.3735,47503600.0
2022-11-15,3.381,3.4486,3.3284,3.4336,18646736.0
2022-11-16,3.396,3.4561,3.3359,3.3585,22994535.0
2022-11-17,3.3284,3.381,3.2908,3.3585,14437346.0
2022-11-18,3.3585,3.3585,3.2307,3.2533,35504580.0
2022-11-21,3.2232,3.2833,3.1706,3.2608,26540364.0
2022-11-22,3.2458,3.3209,3.2307,3.2608,17240955.0
2022-11-23,3.2758,3.3059,3.2307,3.2908,29790562.0
2022-11-24,3.3134,3.3359,3.2758,3.2983,9435226.0
2022-11-25,3.3059,3.3209,3.2458,3.3134,7879778.0
2022-11-28,3.2458,3.366,3.1932,3.3284,20922405.0
2022-11-29,3.2908,3.396,3.2908,3.381,18186692.0
2022-11-30,3.3134,3.4486,3.2683,3.4336,51412561.0
2022-12-01,3.4712,3.5012,3.366,3.381,32150474.0
2022-12-02,3.396,3.411,3.3434,3.396,25658973.0
2022-12-05,3.4261,3.4561,3.366,3.381,30127214.0
2022-12-06,3.3585,3.4787,3.3509,3.4411,19256962.0
2022-12-07,3.4486,3.5162,3.3509,3.3509,20959215.0
