REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,CAPITAL_RESERVE,DEFER_INCOME,DEFER_INCOME_1YEAR,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,其他储备,其他投资,其他综合性收益,其他非流动负债,可供出售投资,商誉,土地使用权,在建工程,存货,库存股,应付关联方款项(流动),应付票据,应付票据(非流动),应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,持作出售的负债(流动),持作出售的资产(流动),无形资产,流动负债其他项目,流动资产其他项目,物业厂房及设备,股东权益其他项目,融资租赁负债(流动),融资租赁负债(非流动),证券投资,贷款及垫款(流动),递延税项负债,递延税项资产,长期应收款,非流动负债其他项目,非流动资产其他项目,非运算项目,预收款项
2021-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2021-12-31 00:00:00,140484000000.0,182578000000.0,1297000000.0,3458000000.0,,37873000000.0,70767000000.0,78036000000.0,114564000000.0,15414000000.0,5926000000.0,,4368000000.0,2568000000.0,496507000000.0,274871000000.0,299672000000.0,221636000000.0,455695000000.0,249723000000.0,496507000000.0,196835000000.0,28087000000.0,246784000000.0,33805000000.0,1586000000.0,63222000000.0,-6090000000.0,,,12433000000.0,14328000000.0,5817000000.0,75601000000.0,-2968000000.0,519000000.0,,9386000000.0,5500000000.0,11900000000.0,274871000000.0,,,,5837000000.0,34468000000.0,,32944000000.0,,6665000000.0,13721000000.0,19088000000.0,,1897000000.0,1111000000.0,264000000.0,1786000000.0,41791000000.0,245572000000.0,29106000000.0
2022-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2022-03-31 00:00:00,125253000000.0,,1188000000.0,4956000000.0,6298000000.0,49345000000.0,84463000000.0,70223000000.0,96096000000.0,17822000000.0,5543000000.0,,17151000000.0,1326000000.0,512185000000.0,293179000000.0,289229000000.0,219006000000.0,462325000000.0,256350000000.0,512185000000.0,222956000000.0,37344000000.0,255835000000.0,,,56902000000.0,,,,18560000000.0,27392000000.0,7551000000.0,68790000000.0,,199000000.0,,9311000000.0,3786000000.0,12729000000.0,293179000000.0,255835000000.0,,,7807000000.0,32836000000.0,,42255000000.0,,6686000000.0,13707000000.0,15013000000.0,,5104000000.0,1196000000.0,269000000.0,1736000000.0,46011000000.0,254619000000.0,30599000000.0
2022-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2022-06-30 00:00:00,159932000000.0,,1183000000.0,4717000000.0,14812000000.0,50612000000.0,78821000000.0,68505000000.0,122223000000.0,21535000000.0,5743000000.0,,13754000000.0,2629000000.0,553711000000.0,298225000000.0,323991000000.0,255486000000.0,453244000000.0,301783000000.0,553711000000.0,229720000000.0,46297000000.0,251928000000.0,,,55893000000.0,,,,18560000000.0,27884000000.0,8036000000.0,76029000000.0,,315000000.0,,9847000000.0,3679000000.0,15841000000.0,298225000000.0,,23000000.0,120000000.0,7507000000.0,36487000000.0,,44569000000.0,201316000000.0,6861000000.0,13806000000.0,17518000000.0,,5049000000.0,1072000000.0,303000000.0,1600000000.0,48378000000.0,251461000000.0,30768000000.0
2022-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2022-09-30 00:00:00,150624000000.0,,1019000000.0,3975000000.0,18193000000.0,58973000000.0,83356000000.0,78065000000.0,128449000000.0,20180000000.0,6433000000.0,,17996000000.0,4929000000.0,579561000000.0,323229000000.0,334397000000.0,256332000000.0,483299000000.0,308425000000.0,579561000000.0,245164000000.0,52093000000.0,271136000000.0,,,58947000000.0,,,,23123000000.0,33487000000.0,10363000000.0,71757000000.0,,256000000.0,,10420000000.0,7803000000.0,16419000000.0,323229000000.0,,,,9465000000.0,40031000000.0,,51686000000.0,212163000000.0,7640000000.0,14781000000.0,15014000000.0,,6265000000.0,1371000000.0,55000000.0,1415000000.0,41653000000.0,270547000000.0,30881000000.0
2022-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2022-12-31 00:00:00,160607000000.0,184041000000.0,1107000000.0,3351000000.0,20009000000.0,60757000000.0,78861000000.0,84513000000.0,141095000000.0,18994000000.0,6254000000.0,,12146000000.0,5926000000.0,595250000000.0,328689000000.0,351074000000.0,266561000000.0,487489000000.0,321127000000.0,595250000000.0,244176000000.0,54566000000.0,274123000000.0,29304000000.0,3473000000.0,72001000000.0,-959000000.0,,,23123000000.0,33848000000.0,11161000000.0,77949000000.0,-2493000000.0,488000000.0,,10224000000.0,6142000000.0,20576000000.0,328689000000.0,,72000000.0,1203000000.0,9139000000.0,42570000000.0,,55080000000.0,,7688000000.0,14978000000.0,,,6511000000.0,1536000000.0,,1737000000.0,38288000000.0,273533000000.0,33713000000.0
2023-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2023-03-31 00:00:00,121432000000.0,,1001000000.0,2355000000.0,19245000000.0,62499000000.0,74373000000.0,80934000000.0,122440000000.0,17676000000.0,6397000000.0,,14280000000.0,3592000000.0,551036000000.0,326855000000.0,305115000000.0,224181000000.0,485511000000.0,277031000000.0,551036000000.0,245921000000.0,52850000000.0,274005000000.0,,,57121000000.0,,,,23123000000.0,33939000000.0,9805000000.0,63299000000.0,,259000000.0,,10091000000.0,5347000000.0,15583000000.0,326855000000.0,,,,8798000000.0,44361000000.0,,57296000000.0,211506000000.0,7964000000.0,14493000000.0,10476000000.0,,6344000000.0,1460000000.0,,1676000000.0,43903000000.0,273413000000.0,29938000000.0
2023-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2023-06-30 00:00:00,152011000000.0,,1081000000.0,2476000000.0,21450000000.0,65504000000.0,91020000000.0,89486000000.0,144101000000.0,17994000000.0,8129000000.0,,17951000000.0,7563000000.0,603924000000.0,344226000000.0,349184000000.0,259698000000.0,509076000000.0,316634000000.0,603924000000.0,254740000000.0,56936000000.0,287290000000.0,,,58387000000.0,,,,23123000000.0,37752000000.0,9857000000.0,63562000000.0,,180000000.0,,10614000000.0,4375000000.0,20003000000.0,344226000000.0,,,,8441000000.0,39923000000.0,,59862000000.0,221786000000.0,7945000000.0,14981000000.0,6260000000.0,,7213000000.0,1506000000.0,,1597000000.0,49552000000.0,286695000000.0,31649000000.0
2023-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2023-09-30 00:00:00,153563000000.0,,1026000000.0,2275000000.0,22191000000.0,66190000000.0,115971000000.0,95170000000.0,126382000000.0,17383000000.0,7897000000.0,,13740000000.0,9206000000.0,617393000000.0,354955000000.0,357608000000.0,262438000000.0,526378000000.0,321109000000.0,617393000000.0,259785000000.0,58671000000.0,296284000000.0,,,57893000000.0,,,,23123000000.0,37975000000.0,9760000000.0,64638000000.0,,159000000.0,,10550000000.0,4632000000.0,20705000000.0,354955000000.0,,,,8156000000.0,42333000000.0,,66649000000.0,230094000000.0,8097000000.0,15280000000.0,4793000000.0,,8131000000.0,1533000000.0,,1493000000.0,49903000000.0,295681000000.0,33065000000.0
2023-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2023-12-31 00:00:00,166167000000.0,184204000000.0,964000000.0,2097000000.0,31555000000.0,64522000000.0,71892000000.0,42160000000.0,118254000000.0,18392000000.0,7506000000.0,,5034000000.0,7313000000.0,628958000000.0,363308000000.0,307810000000.0,265650000000.0,528238000000.0,332578000000.0,628958000000.0,321148000000.0,66928000000.0,296380000000.0,44051000000.0,6109000000.0,137586000000.0,903000000.0,,,19980000000.0,39563000000.0,9920000000.0,68058000000.0,-3409000000.0,1620000000.0,,10411000000.0,2114000000.0,20302000000.0,363308000000.0,,506000000.0,1292000000.0,6935000000.0,43533000000.0,,70035000000.0,,7755000000.0,13676000000.0,,,9267000000.0,1744000000.0,,1055000000.0,35385000000.0,295766000000.0,31625000000.0
2024-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2024-03-31 00:00:00,146831000000.0,,833000000.0,2073000000.0,32157000000.0,65583000000.0,81626000000.0,37973000000.0,90371000000.0,15191000000.0,7293000000.0,,5267000000.0,4773000000.0,601822000000.0,355723000000.0,284072000000.0,246099000000.0,510343000000.0,313859000000.0,601822000000.0,317750000000.0,67760000000.0,287963000000.0,,,135421000000.0,,,,19980000000.0,38646000000.0,9501000000.0,67994000000.0,,716000000.0,,10432000000.0,2943000000.0,17540000000.0,355723000000.0,,262000000.0,1114000000.0,6626000000.0,48149000000.0,,71255000000.0,222380000000.0,7859000000.0,14264000000.0,,,9095000000.0,1712000000.0,,979000000.0,34609000000.0,287345000000.0,30169000000.0
2024-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2024-06-30 00:00:00,182247000000.0,,707000000.0,2139000000.0,32267000000.0,67186000000.0,84496000000.0,41974000000.0,117406000000.0,16009000000.0,7549000000.0,,5601000000.0,7335000000.0,651636000000.0,371409000000.0,322201000000.0,280227000000.0,508714000000.0,363686000000.0,651636000000.0,329435000000.0,83459000000.0,287950000000.0,,,141971000000.0,,,,21729000000.0,38436000000.0,5901000000.0,70644000000.0,,494000000.0,,24514000000.0,3495000000.0,21643000000.0,371409000000.0,,,959000000.0,6686000000.0,41984000000.0,,78178000000.0,220764000000.0,7843000000.0,15965000000.0,,,9102000000.0,1593000000.0,,904000000.0,34941000000.0,287328000000.0,32584000000.0
2024-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2024-09-30 00:00:00,162500000000.0,,565000000.0,2170000000.0,29721000000.0,68134000000.0,99092000000.0,45549000000.0,91801000000.0,17617000000.0,5862000000.0,,9684000000.0,8996000000.0,643559000000.0,378006000000.0,311102000000.0,265553000000.0,525356000000.0,346814000000.0,643559000000.0,332457000000.0,81261000000.0,296745000000.0,,,142373000000.0,,,,21729000000.0,38154000000.0,5765000000.0,72883000000.0,,541000000.0,,24126000000.0,3171000000.0,19714000000.0,378006000000.0,,,962000000.0,6537000000.0,41635000000.0,,84203000000.0,228611000000.0,7675000000.0,16792000000.0,,,9148000000.0,1656000000.0,,909000000.0,32040000000.0,296274000000.0,32352000000.0
2024-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2024-12-31 00:00:00,192860000000.0,,502000000.0,2097000000.0,31705000000.0,73950000000.0,108350000000.0,87177000000.0,125645000000.0,23570000000.0,7366000000.0,,7581000000.0,9487000000.0,698234000000.0,398713000000.0,386698000000.0,299521000000.0,552644000000.0,384937000000.0,698234000000.0,311536000000.0,85416000000.0,313297000000.0,,,116220000000.0,,835000000.0,,25709000000.0,36833000000.0,6164000000.0,89326000000.0,,1367000000.0,,24770000000.0,4805000000.0,25596000000.0,398713000000.0,,101000000.0,2040000000.0,7793000000.0,45985000000.0,,82737000000.0,239347000000.0,7606000000.0,18106000000.0,,,9498000000.0,2459000000.0,,,33621000000.0,312813000000.0,32437000000.0
2025-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2025-03-31 00:00:00,176736000000.0,,424000000.0,2166000000.0,31492000000.0,74349000000.0,96778000000.0,73101000000.0,97385000000.0,21852000000.0,9279000000.0,,4230000000.0,5496000000.0,677862000000.0,393733000000.0,357230000000.0,284129000000.0,542993000000.0,369191000000.0,677862000000.0,320632000000.0,85062000000.0,308671000000.0,,,123893000000.0,,,,25709000000.0,36820000000.0,7039000000.0,95434000000.0,,2954000000.0,,24758000000.0,3344000000.0,31380000000.0,393733000000.0,,65000000.0,1778000000.0,7510000000.0,50626000000.0,,83054000000.0,234322000000.0,7801000000.0,19151000000.0,,,8440000000.0,2430000000.0,,797000000.0,34177000000.0,308408000000.0,34055000000.0
2025-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2025-06-30 00:00:00,211711000000.0,,429000000.0,2387000000.0,35454000000.0,70129000000.0,116547000000.0,71401000000.0,97291000000.0,21712000000.0,9610000000.0,,11661000000.0,5981000000.0,706939000000.0,384307000000.0,394033000000.0,322632000000.0,524449000000.0,409650000000.0,706939000000.0,312906000000.0,87018000000.0,297289000000.0,,,109622000000.0,,926000000.0,,25709000000.0,37173000000.0,6749000000.0,103537000000.0,,939000000.0,3571000000.0,21141000000.0,1990000000.0,41983000000.0,384307000000.0,,25000000.0,1363000000.0,7256000000.0,44555000000.0,,87160000000.0,227160000000.0,8285000000.0,20680000000.0,,,8388000000.0,2881000000.0,,,36356000000.0,297289000000.0,33517000000.0
2025-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2025-09-30 00:00:00,189804000000.0,,324000000.0,2322000000.0,38957000000.0,72487000000.0,113069000000.0,62715000000.0,85203000000.0,25276000000.0,12266000000.0,,17062000000.0,7530000000.0,713529000000.0,396980000000.0,379264000000.0,316549000000.0,536353000000.0,409109000000.0,713529000000.0,334265000000.0,92560000000.0,304420000000.0,,,120989000000.0,,907000000.0,,27594000000.0,36877000000.0,8337000000.0,100999000000.0,,248000000.0,3547000000.0,21005000000.0,1756000000.0,39735000000.0,396980000000.0,,,960000000.0,8001000000.0,46937000000.0,,88559000000.0,231933000000.0,8897000000.0,22621000000.0,,,8746000000.0,4578000000.0,,,39330000000.0,304420000000.0,40202000000.0
