REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:购股权开支,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2021-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2021-01-01 00:00:00,,,90635000000.0,,-15136000000.0,,,75499000000.0,,,,,-592000000.0,-7631000000.0,-7509000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,596000000.0,,,,,,,-19486000000.0,,
2021-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2021-01-01 00:00:00,,,90635000000.0,,12155000000.0,,,102790000000.0,,,,,16851000000.0,-25705000000.0,21381000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-372000000.0,,,,,,,,,
2021-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2021-01-01 00:00:00,,,90635000000.0,,3235000000.0,,,93870000000.0,,,,,22930000000.0,-55463000000.0,35829000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-61000000.0,,,,,,,,,
2021-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2021-01-01 00:00:00,62000000.0,,90519000000.0,5246000000.0,-13942000000.0,5562000000.0,1765000000.0,76693000000.0,6246000000.0,-8000000.0,-2872000000.0,,19503000000.0,-74248000000.0,42301000000.0,-31947000000.0,321000000.0,42301000000.0,-651000000.0,,22783000000.0,6011000000.0,7133000000.0,749000000.0,,-4778000000.0,42000000.0,-7252000000.0,1282000000.0,9134000000.0,27662000000.0,1946000000.0,-160000000.0,-16697000000.0,-66000000.0,32585000000.0,-278000000.0,-5632000000.0,166097000000.0,113769000000.0,116000000.0,-1498000000.0,-1464000000.0,843000000.0,16716000000.0,3246000000.0,-243000000.0,-4467000000.0,174260000000.0,6056000000.0,5257000000.0
2022-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2022-01-01 00:00:00,,,76693000000.0,,13313000000.0,,,90006000000.0,,,,,12695000000.0,4562000000.0,-3485000000.0,1077000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-459000000.0,,,,,,,76693000000.0,,
2022-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2022-01-01 00:00:00,,,76692000000.0,,7872000000.0,,,84564000000.0,,,,,1386000000.0,-26364000000.0,30182000000.0,3818000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2668000000.0,,,,,,,76692000000.0,,
2022-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2022-01-01 00:00:00,,,76693000000.0,,13096000000.0,,,89789000000.0,,,,,5415000000.0,-36118000000.0,39333000000.0,3215000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4466000000.0,,,,,,,76693000000.0,,
2022-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2022-01-01 00:00:00,1043000000.0,13087000000.0,76693000000.0,1823000000.0,8463000000.0,5505000000.0,1418000000.0,85115000000.0,7236000000.0,-231000000.0,1500000000.0,,1180000000.0,-54026000000.0,57819000000.0,3793000000.0,15684000000.0,57819000000.0,-657000000.0,,34459000000.0,35439000000.0,47309000000.0,972000000.0,1131000000.0,-5753000000.0,,-4096000000.0,2895000000.0,7548000000.0,8020000000.0,-484000000.0,-18187000000.0,-2278000000.0,847000000.0,17658000000.0,1763000000.0,-7196000000.0,88000000.0,412000000.0,-41000000.0,3490000000.0,5824000000.0,4581000000.0,17408000000.0,31000000.0,-319000000.0,9691000000.0,166207000000.0,3766000000.0,3295000000.0
2023-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2023-01-01 00:00:00,,,85156000000.0,,-4386000000.0,,,80770000000.0,,,,,1255000000.0,16692000000.0,-21607000000.0,-4915000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-726000000.0,,,,,,,165926000000.0,,
2023-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2023-01-01 00:00:00,,,85156000000.0,,13993000000.0,,,99149000000.0,,,,,-577000000.0,-11435000000.0,24904000000.0,13469000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1101000000.0,,,,,,,184305000000.0,,
2023-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2023-01-01 00:00:00,,,85156000000.0,,38712000000.0,,,123868000000.0,,,,,-5063000000.0,3529000000.0,39908000000.0,43437000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,338000000.0,,,,,,,263728000000.0,,
2023-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2023-01-01 00:00:00,33000000.0,6741000000.0,85115000000.0,2497000000.0,-5705000000.0,4028000000.0,130000000.0,79398000000.0,8292000000.0,-773000000.0,10489000000.0,,-5808000000.0,-59543000000.0,59521000000.0,-22000000.0,,59521000000.0,909000000.0,,43431000000.0,27387000000.0,30500000000.0,2228000000.0,211000000.0,1099000000.0,,-855000000.0,8852000000.0,4804000000.0,1835000000.0,1507000000.0,-51345000000.0,9891000000.0,1132000000.0,4614000000.0,-750000000.0,-310000000.0,696000000.0,387000000.0,-12000000.0,125000000.0,1417000000.0,778000000.0,15987000000.0,,-1397000000.0,23257000000.0,167476000000.0,-656000000.0,2149000000.0
2024-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2024-01-01 00:00:00,,,79451000000.0,,9524000000.0,,,88919000000.0,,,,,-7445000000.0,28414000000.0,-11315000000.0,17099000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-56000000.0,-130000000.0,,,,,,,168320000000.0,,
2024-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2024-01-01 00:00:00,,,79451000000.0,,12649000000.0,,,92045000000.0,,,,,-16414000000.0,-10113000000.0,39423000000.0,29310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-55000000.0,-247000000.0,,,,,,,233402000000.0,,
2024-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2024-01-01 00:00:00,,,79398000000.0,,25558000000.0,,,104954000000.0,,,,,-18220000000.0,11612000000.0,33204000000.0,44816000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-2000000.0,-1038000000.0,,,,,,,184354000000.0,,
2024-12-31,09618.HK,09618,京东集团-SW,10295301,001,12-31,2024-01-01 00:00:00,27000000.0,8263000000.0,79451000000.0,25912000000.0,36318000000.0,5353000000.0,81000000.0,115716000000.0,8904000000.0,-432000000.0,-1446000000.0,13999000000.0,-21004000000.0,-871000000.0,58095000000.0,57224000000.0,2776000000.0,58095000000.0,-976000000.0,,52947000000.0,13253000000.0,13628000000.0,1387000000.0,2912000000.0,2979000000.0,,1355000000.0,5993000000.0,2999000000.0,31000000.0,-486000000.0,18055000000.0,-20154000000.0,-1288000000.0,27844000000.0,-527000000.0,-4546000000.0,1056000000.0,576000000.0,-53000000.0,98000000.0,2898000000.0,829000000.0,8466000000.0,,-462000000.0,44660000000.0,194706000000.0,-858000000.0,2241000000.0
2025-03-31,09618.HK,09618,京东集团-SW,10295301,003,12-31,2025-01-01 00:00:00,,,115716000000.0,,-9659000000.0,,,106057000000.0,,,,,-7288000000.0,16236000000.0,-18262000000.0,-2026000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-345000000.0,,,,,,,221773000000.0,,
2025-06-30,09618.HK,09618,京东集团-SW,10295301,002,12-31,2025-01-01 00:00:00,,,115716000000.0,,10441000000.0,,,126157000000.0,,,,,-19727000000.0,24454000000.0,6147000000.0,30601000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-433000000.0,,,,,,,237348000000.0,,
2025-09-30,09618.HK,09618,京东集团-SW,10295301,004,12-31,2025-01-01 00:00:00,,,115716000000.0,,9619000000.0,,,125335000000.0,,,,,-11723000000.0,24300000000.0,-1888000000.0,22412000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1070000000.0,,,,,,,241051000000.0,,
