REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已收利息(投资),已收利息(经营),已收股息(投资),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,除税前溢利(业务利润),非运算项目
2015-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2015-04-01 00:00:00,,1867060633.9,18162930069.9,,-259362923.6,762344553.3,360068663.9,17559955165.5,839990581.1,-569609885.9,-1093602889.5,4076925363.5,-1935323744.2,-2133198342.0,3809159162.6,1675960820.6,25763265.0,5189376784.9,1539065644.6,,-904150652.9,844958756.4,5343555613.0,1640751025.1,,,36342106.9,109783315.4,-21278548.5,3384211.6,,120750196.6,858107563.5,736339558.9,397988373.2,,127226000.0,,-134916811.7,1482520048.9,535258865.9,109783315.4,,3384211.6,5912033187.5,,,-2088592906.4,223351604.3,18034285.5,-343611980.8,787567107.8,,384489694.6,,-5026661092.2,
2015-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2015-04-01 00:00:00,,2463457551.2,18540676072.8,,-1408786520.0,3043862012.8,563410710.4,16567394411.2,3619487184.8,-656736729.6,,4161715772.0,-4751360626.4,-3100479711.2,6443053817.6,,32792680.0,8921173917.6,,,3013381054.4,1444605217.6,7875152361.6,1952398244.0,,,53046218.4,161255568.8,-41831771.2,3454595.2,,128255093.6,876973667.2,1160497230.4,713075203.2,,129872000.0,,140917613.6,1686374932.8,1033514882.4,161255568.8,,3454595.2,6038444095.2,,,-3014881076.0,364297453.6,30532907.2,-564495141.6,1197854911.2,,559098960.0,,-3052472526.4,
2016-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2015-04-01 00:00:00,,2451166060.4,18448166847.6,,-5598720256.8,1313116137.2,592640647.6,12449957056.0,4785171181.2,-1106913400.4,-3726083583.2,4140950774.0,-1971505956.0,-5515571074.0,1888356773.2,-3627214300.8,37571878.0,5435755870.4,1042068797.2,,6386973734.4,2288492428.0,12246661859.2,9563060590.0,,,48562379.2,212030739.2,-71687014.0,3437358.4,,-136131022.8,875040316.0,1529695561.2,,,129224000.0,,121489943.6,2048898209.6,1258906669.2,212030739.2,,3437358.4,-11370536061.6,,,7576112366.0,447470406.0,31756798.0,-399489534.8,794307622.0,,952684556.4,,-1788789681.2,
2016-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2016-04-01 00:00:00,,,12777526656.0,,9151056.0,229618562.4,1065819513.6,12640333759.2,1279854756.0,-243185997.6,-321467313.6,,-269551648.8,225367963.2,53334741.6,278702704.8,,1181805832.8,219293784.0,,2141870968.8,666342763.2,2684820362.4,2658454711.2,,,873408614.4,40715568.0,65231114.4,,,110621678.4,1438970.4,367879082.4,,,,,-33872169.6,396844164.0,462128328.0,40715568.0,,,383462402.4,,,-2001402259.2,88771874.4,,-146343952.8,261030556.8,,207437198.4,,1363381351.2,
2016-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2016-04-01 00:00:00,,1948755662.8,12867319264.0,,2299233318.0,437208921.6,1073309438.4,15045450679.0,2566318606.8,-419025272.2,-911940401.4,,-7049072324.4,-1113810295.4,10462115937.8,9348305642.4,,12105589295.8,536648041.4,,3659835068.0,1049296069.6,11084326630.6,6366534386.4,,,2317550523.4,77482513.4,83599378.2,307178.8,,203118642.6,2784642.6,742624782.4,,,36500854.8,,-295506005.6,-1639119432.4,594177288.4,77482513.4,,307178.8,18122320484.8,,,-8254261635.0,241843204.8,79198708.0,-121101903.0,216814810.4,,457609600.6,,2493517231.2,
2016-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2016-04-01 00:00:00,,2614541426.0,13366766560.0,,4613992936.0,2354535729.0,2840881862.0,17502272984.0,3924517569.0,-689281131.0,,,-8139945170.0,-510896176.0,13264834282.0,,45215366.0,15698777850.0,939193493.0,,7429943220.0,1506889825.0,19372016468.0,14639761556.0,,,2399980016.0,122958325.0,157927742.0,319102.0,-804886236.0,,9864414.0,1139325943.0,,,37917642.0,,-68489001.0,-1361705352.0,927053743.0,122958325.0,,319102.0,20421591505.0,,,-10371994290.0,305859267.0,81939844.0,-478486512.0,-419057233.0,141785343.0,782895946.0,,3293340750.0,
2017-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2016-04-01 00:00:00,,2600332371.4,13294123184.0,,5984087157.1,813241188.9,2841628489.6,19004804880.7,5120011925.8,-821306470.6,-10380617787.0,9228683061.8,1001067732.1,-9642268499.6,14625287924.6,4983019425.0,76057883.2,18609702667.6,1224784433.9,,6848534950.6,2786289204.3,26945657705.2,22239141526.3,541574352.1,,4004167438.9,191766043.5,147720912.3,2214675.3,,188806243.8,60196392.5,1598064161.1,,,41554483.9,,-306218531.2,-1081244497.4,1198125538.7,191766043.5,,266823528.2,16242456247.4,,,-4001628496.5,856272123.0,82080972.1,-273405460.4,601584463.5,141014792.7,1133734371.8,,3380153351.1,
2017-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2017-04-01 00:00:00,,,18660755465.6,,-9401302313.6,463199600.0,1327782.4,9399276768.0,1184598681.6,-129506204.8,-5107491136.0,1013619600.0,-450572118.4,-5039530355.2,-3911199840.0,-8950730195.2,,-2685765075.2,320029430.4,,1546094214.4,909889987.2,9835771683.2,8451057225.6,535116630.4,,-27693747.2,62243187.2,-1984899.2,,,-23967827.2,31216435.2,488054873.6,,,50028944.0,,292003737.6,-2597962076.8,315544777.6,62243187.2,,,1450053545.6,,,-2610291484.8,140690739.2,,139823616.0,-473659273.6,,218840217.6,,-469208492.8,
2017-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2017-04-01 00:00:00,,2111231074.5,18281998103.1,,-10903271879.4,672364428.3,35407861.5,7591511874.6,2356962297.0,-173581482.6,-5661507991.5,993046162.5,-3930750483.3,-5553744646.2,-1418776749.9,-6972521396.1,14634364.5,611610245.7,652672746.0,,3595168908.6,1254460379.7,24975756425.4,22330115526.0,1065647211.6,,-30164710.5,117201017.1,-10419933.0,,,16804630.8,30801852.9,873243480.6,,,6656810.7,,521029834.5,-5349042739.5,775926615.9,117201017.1,,,18041669317.2,,,-14727028897.8,460302199.5,1095088.5,212785650.9,-949156342.8,,485316675.6,,-225090463.5,
2017-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2017-04-01 00:00:00,3241231102.2,2714162927.6,17999100785.8,,-7449268970.6,2447580636.0,219692872.4,10849045901.6,3562844426.2,-187100282.8,-4484427994.2,977679675.0,-1288603047.8,-6142121863.2,-18544059.6,,14407911.0,2866154953.8,964317236.0,,6147153197.2,1698774384.4,37731123685.2,35118319268.0,1049157288.8,,355284056.6,160532225.6,-18923043.2,1868781.2,,-73405202.8,34755409.8,1250247293.8,,,6553802.6,,720088442.6,-7770954170.8,1185924629.0,160532225.6,,1868781.2,20711362261.2,,,-15039559045.6,594141737.6,1078143.0,299214086.4,-1181847288.2,,753981338.0,,760345648.8,
