代码,简称,公告标题,公告时间,公告链接
002594,比亚迪,半年度非经营性资金占用及其他关联资金往来情况汇总表,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626652&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,半年报董事会决议公告,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626651&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,2025年半年度财务报告,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626654&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,H股公告（2025年中期报告）,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626655&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,H股公告（二零二五年中期业绩公告）,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626656&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,H股公告（更改每手买卖单位）,2025-08-30 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224626657&orgId=gshk0001211&announcementTime=2025-08-30 00:00:00
002594,比亚迪,H股公告（董事会会议通告）,2025-08-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224440965&orgId=gshk0001211&announcementTime=2025-08-09 00:00:00
002594,比亚迪,关于增加外汇衍生品交易业务额度的可行性分析报告,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368798&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,2025年7月产销快报,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368797&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368796&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,关于增加外汇衍生品套期保值交易业务额度的公告,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368795&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,关于变更公司注册资本暨修订公司章程的公告,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368794&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,公司章程（2025年8月）,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368792&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,第八届董事会第十九次会议决议公告,2025-08-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224368790&orgId=gshk0001211&announcementTime=2025-08-02 00:00:00
002594,比亚迪,H股公告（翌日披露报表）,2025-07-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224341855&orgId=gshk0001211&announcementTime=2025-07-31 00:00:00
002594,比亚迪,2024年度利润分配及资本公积金转增股本实施公告,2025-07-22 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224237000&orgId=gshk0001211&announcementTime=2025-07-22 00:00:00
002594,比亚迪,关于2022年员工持股计划股票出售完毕暨终止的公告,2025-07-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224216030&orgId=gshk0001211&announcementTime=2025-07-19 00:00:00
002594,比亚迪,关于2022年员工持股计划第三个锁定期届满暨解锁条件成就的公告,2025-07-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224176289&orgId=gshk0001211&announcementTime=2025-07-16 00:00:00
002594,比亚迪,2025年6月产销快报,2025-07-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224058406&orgId=gshk0001211&announcementTime=2025-07-02 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-07-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224058405&orgId=gshk0001211&announcementTime=2025-07-02 00:00:00
002594,比亚迪,2024年度股东会决议公告,2025-06-07 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223803994&orgId=gshk0001211&announcementTime=2025-06-07 00:00:00
002594,比亚迪,北京市中伦（深圳）律师事务所关于比亚迪股份有限公司2024年度股东会的法律意见书,2025-06-07 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223803992&orgId=gshk0001211&announcementTime=2025-06-07 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-06-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223739828&orgId=gshk0001211&announcementTime=2025-06-03 00:00:00
002594,比亚迪,2025年5月产销快报,2025-06-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223739822&orgId=gshk0001211&announcementTime=2025-06-03 00:00:00
002594,比亚迪,关于2025年员工持股计划完成股票购买的公告,2025-05-24 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223647081&orgId=gshk0001211&announcementTime=2025-05-24 00:00:00
002594,比亚迪,2025年员工持股计划第一次持有人会议决议公告,2025-05-24 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223647080&orgId=gshk0001211&announcementTime=2025-05-24 00:00:00
002594,比亚迪,H股公告（股东周年大会通告）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489777&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（通函）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489775&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,关于召开2024年度股东会会议通知,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489776&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（于二零二五年六月六日举行的股东周年大会（「股东周年大会」）或其任何续会适用的H股持有人代表委任表格）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489774&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（股东周年大会的出席回条）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489778&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（截至二零二四年十二月三十一日止年度之红股(更新)）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489779&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（暂停办理过户登记）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489780&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（截至二零二四年十二月三十一日止年度之末期股息(更新)）,2025-05-08 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223489781&orgId=gshk0001211&announcementTime=2025-05-08 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-05-07 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223476910&orgId=gshk0001211&announcementTime=2025-05-07 00:00:00
002594,比亚迪,2025年4月产销快报,2025-05-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223470873&orgId=gshk0001211&announcementTime=2025-05-06 00:00:00
002594,比亚迪,关于2025年员工持股计划实施进展的公告,2025-05-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223470872&orgId=gshk0001211&announcementTime=2025-05-06 00:00:00
002594,比亚迪,2025年一季度报告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223309368&orgId=gshk0001211&announcementTime=2025-04-26 00:00:00
002594,比亚迪,关于增加外汇衍生品交易业务额度的可行性分析报告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223309375&orgId=gshk0001211&announcementTime=2025-04-26 00:00:00
002594,比亚迪,关于增加外汇衍生品套期保值交易业务额度的公告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223309383&orgId=gshk0001211&announcementTime=2025-04-26 00:00:00
002594,比亚迪,第八届董事会第十八次会议决议公告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223309395&orgId=gshk0001211&announcementTime=2025-04-26 00:00:00
002594,比亚迪,H股公告（截至2024年12月31日止年度之红股）,2025-04-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223266505&orgId=gshk0001211&announcementTime=2025-04-25 00:00:00
002594,比亚迪,H股公告（截至2024年12月31日止年度之末期股息）,2025-04-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223266504&orgId=gshk0001211&announcementTime=2025-04-25 00:00:00
002594,比亚迪,第八届监事会第十一次会议决议公告,2025-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223212685&orgId=gshk0001211&announcementTime=2025-04-23 00:00:00
002594,比亚迪,关于2024年度利润分配及资本公积金转增股本方案的公告,2025-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223212684&orgId=gshk0001211&announcementTime=2025-04-23 00:00:00
002594,比亚迪,第八届董事会第十七次会议决议公告,2025-04-23 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223212683&orgId=gshk0001211&announcementTime=2025-04-23 00:00:00
002594,比亚迪,2025年第一次临时股东会决议公告,2025-04-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223100248&orgId=gshk0001211&announcementTime=2025-04-16 00:00:00
002594,比亚迪,北京市中伦（深圳）律师事务所关于比亚迪股份有限公司2025年第一次临时股东会的法律意见书,2025-04-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223100247&orgId=gshk0001211&announcementTime=2025-04-16 00:00:00
002594,比亚迪,2025年员工持股计划,2025-04-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223100246&orgId=gshk0001211&announcementTime=2025-04-16 00:00:00
002594,比亚迪,H股公告（董事会会议通告）,2025-04-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223042457&orgId=gshk0001211&announcementTime=2025-04-10 00:00:00
002594,比亚迪,北京市中伦（深圳）律师事务所关于比亚迪股份有限公司2025年员工持股计划的法律意见书,2025-04-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1223042458&orgId=gshk0001211&announcementTime=2025-04-10 00:00:00
