日期,00288.HK_close,00288.HK_volume,00288.HK_turnover
2025-02-12,5.3133,34137421.0,
2025-02-13,5.2445,30427715.0,
2025-02-14,5.1242,39443673.0,
2025-02-17,5.0554,45005540.0,
2025-02-18,5.1302,40463354.0,
2025-02-19,5.1905,50388333.0,
2025-02-20,5.225,30593031.0,
2025-02-21,5.3285,45836690.0,
2025-02-24,5.3199,17455598.0,
2025-02-25,5.4147,32185752.0,
2025-02-26,5.3888,30400392.0,
2025-02-27,5.5095,42141345.0,
2025-02-28,5.4664,58528549.0,
2025-03-03,5.5009,44458939.0,
2025-03-04,5.6044,46795706.0,
2025-03-05,5.8113,53270503.0,
2025-03-06,5.9062,30833575.0,
2025-03-07,5.9579,42365366.0,
2025-03-10,5.9579,33518762.0,
2025-03-11,5.9579,62470048.0,
2025-03-12,5.9148,41677962.0,
2025-03-13,5.9502,50164852.0,
2025-03-14,5.7997,58324029.0,
2025-03-17,5.9325,43640864.0,
2025-03-18,5.9413,30587190.0,
2025-03-19,6.0387,18987099.0,
2025-03-20,6.0033,11178717.0,
2025-03-21,5.9856,62023075.0,
2025-03-24,5.9679,26882754.0,
2025-03-25,5.8971,32637287.0,
2025-03-26,6.1273,47762860.0,
2025-03-27,6.1627,33698132.0,
2025-03-28,6.1981,35920503.0,
2025-03-31,6.3221,42451237.0,
2025-04-01,6.2424,62890749.0,
2025-04-02,6.4372,48328533.0,
2025-04-03,6.4549,49391562.0,
2025-04-07,5.8971,90804678.0,
2025-04-08,5.9591,71417772.0,
2025-04-09,5.7731,93086937.0,
2025-04-10,5.9856,48246216.0,
2025-04-11,5.9502,45792174.0,
2025-04-14,6.0653,35982977.0,
2025-04-15,6.2158,39794072.0,
2025-04-16,6.1716,41069891.0,
2025-04-17,5.9856,43387462.0,
2025-04-22,5.9945,18435614.0,
2025-04-23,6.145,36418969.0,
2025-04-24,6.1627,25186969.0,
2025-04-25,6.0742,44613659.0,
2025-04-28,6.1273,27828938.0,
2025-04-29,6.1361,28301609.0,
2025-04-30,6.145,38742309.0,
2025-05-02,6.1184,27496509.0,
2025-05-06,6.1893,23070280.0,
2025-05-07,6.2601,43131906.0,
2025-05-08,6.3664,32024764.0,
2025-05-09,6.0653,31506913.0,
2025-05-12,6.0565,31165370.0,
2025-05-13,6.0299,21918204.0,
2025-05-14,6.2933,53706156.0,
2025-05-15,6.3027,22814448.0,
2025-05-16,6.2839,29759127.0,
2025-05-19,6.2557,21854026.0,
2025-05-20,6.4062,44691186.0,
2025-05-21,6.4156,28216864.0,
2025-05-22,6.5473,51972797.0,
2025-05-23,6.6884,61423680.0,
2025-05-26,6.6131,25296140.0,
2025-05-27,6.6978,17498896.0,
2025-05-28,6.7072,38387932.0,
2025-05-29,6.6978,30373449.0,
2025-05-30,6.8107,77000264.0,
2025-06-02,6.8201,20426307.0,
2025-06-03,6.8483,33634185.0,
2025-06-04,6.8577,33286770.0,
2025-06-05,6.8389,30030280.0,
2025-06-06,6.9142,31379234.0,
2025-06-09,6.9518,21418895.0,
2025-06-10,7.027,23541626.0,
2025-06-11,7.0741,31895701.0,
2025-06-12,7.1211,27386600.0,
2025-06-13,7.0741,30369237.0,
2025-06-16,7.1117,27231016.0,
2025-06-17,6.9236,33046801.0,
2025-06-18,6.9988,44330854.0,
2025-06-19,6.7919,27846840.0,
2025-06-20,6.8859,37881152.0,
2025-06-23,6.9047,10738186.0,
2025-06-24,7.0741,23283765.0,
2025-06-25,7.1023,18435862.0,
2025-06-26,7.0835,49333753.0,
2025-06-27,7.1305,17754619.0,
2025-06-30,7.1023,31380679.0,
2025-07-02,7.1493,26732104.0,
2025-07-03,7.234,24520483.0,
