SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004009999,总资产,340455547000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,21918308000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011003,应付税项,537681000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),2955694000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),622102000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,5461766000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,61686808000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,93182359000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,-41543986000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,247273188000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020001,长期贷款,130707677000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,2783870000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),4344383000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),100250000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),1804615000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004020999,非流动负债合计,139740795000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004025999,总负债,232923154000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004027999,少数股东权益,52634930000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004028999,净资产,107532393000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004030001,股本,24508986000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004030002,储备,15280985000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004030015,其他权益工具,15107492000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004030999,股东权益,54897463000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004036999,总权益,107532393000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,247273188000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004039999,总权益及总负债,340455547000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-12-31 00:00:00,001,12-31,004060999,非运算项目,39789971000.0,2024-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001002,物业厂房及设备,214628358000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001004,无形资产,15548069000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001005,商誉,1240558000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001009,递延税项资产,1055122000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001010,预付款项,5861266000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001013,联营公司权益,7279910000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001016,合营公司权益,2377949000.0,2024-06-30 00:00:00
