代码,stockCode,公告标题,公告时间,公告链接,url,announcementId,orgId,adjunctUrl,adjunctType,stockName
01810.HK,01810.HK,自愿公告 - 控股股东增持本公司股份,2025-11-24 23:59:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224826721&announcementTime=2025-11-24%2023%3A59,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224826721&announcementTime=2025-11-24%2023%3A59,1224826721,9900037222,finalpage/2025-11-24/1224826721.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-21 18:24:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224820411&announcementTime=2025-11-21%2018%3A24,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224820411&announcementTime=2025-11-21%2018%3A24,1224820411,9900037222,finalpage/2025-11-21/1224820411.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-20 19:16:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224818259&announcementTime=2025-11-20%2019%3A16,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224818259&announcementTime=2025-11-20%2019%3A16,1224818259,9900037222,finalpage/2025-11-20/1224818259.PDF,PDF,小米集团-W
01810.HK,01810.HK,根据2023年股份计划授出奖励及根据2024年小米香港股份计划授出小米香港购股权,2025-11-19 19:34:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224816049&announcementTime=2025-11-19%2019%3A34,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224816049&announcementTime=2025-11-19%2019%3A34,1224816049,9900037222,finalpage/2025-11-19/1224816049.PDF,PDF,小米集团-W
01810.HK,01810.HK,截至2025年 9 月 30日止三个月及九个月之业绩公告,2025-11-18 17:32:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224812757&announcementTime=2025-11-18%2017%3A32,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224812757&announcementTime=2025-11-18%2017%3A32,1224812757,9900037222,finalpage/2025-11-18/1224812757.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-11-12 20:38:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224802611&announcementTime=2025-11-12%2020%3A38,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224802611&announcementTime=2025-11-12%2020%3A38,1224802611,9900037222,finalpage/2025-11-12/1224802611.PDF,PDF,小米集团-W
01810.HK,01810.HK,截至二零二五年十月三十一日止之股份发行人的证券变动月报表,2025-11-06 17:14:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224790663&announcementTime=2025-11-06%2017%3A14,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224790663&announcementTime=2025-11-06%2017%3A14,1224790663,9900037222,finalpage/2025-11-06/1224790663.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-27 19:44:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224746733&announcementTime=2025-10-27%2019%3A44,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224746733&announcementTime=2025-10-27%2019%3A44,1224746733,9900037222,finalpage/2025-10-27/1224746733.PDF,PDF,小米集团-W
01810.HK,01810.HK,董事会会议召开日期,2025-10-17 19:08:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224719375&announcementTime=2025-10-17%2019%3A08,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224719375&announcementTime=2025-10-17%2019%3A08,1224719375,9900037222,finalpage/2025-10-17/1224719375.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-17 18:34:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224719183&announcementTime=2025-10-17%2018%3A34,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224719183&announcementTime=2025-10-17%2018%3A34,1224719183,9900037222,finalpage/2025-10-17/1224719183.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-16 18:30:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224716697&announcementTime=2025-10-16%2018%3A30,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224716697&announcementTime=2025-10-16%2018%3A30,1224716697,9900037222,finalpage/2025-10-16/1224716697.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-15 18:34:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224714391&announcementTime=2025-10-15%2018%3A34,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224714391&announcementTime=2025-10-15%2018%3A34,1224714391,9900037222,finalpage/2025-10-15/1224714391.PDF,PDF,小米集团-W
