REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:重估盈余,加:减值及拨备,加:利息支出,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收利息(经营),已收股息(投资),已收股息(经营),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,应收票据(增加)减少,影响现金净额其他项目,投资支付现金,收回投资所得现金,期间变动其他项目,汇率影响,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2007-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2007-01-01 00:00:00,,156441942.98,1577015613.56,,-22931946.2,68775238.24,1829686.52,1573387141.06,27118501.18,,,,-125640659.26,-133711318.48,236420031.54,,7140833.88,267538748.08,679811.88,,269863779.62,31118716.54,,33212462.22,,,38391.58,76102411.74,202258.08,4727782.62,,187276.0,2411178.5,,,,-89390580.32,-21835445.22,,2411178.5,76102411.74,,4727782.62,,3404677.68,6888011.28,665766.18,,-65615892.12,,,41251284.52,,19303473.7,,,,9813262.4,,16949414.38,320537856.08,3146774282.12,2630291.42,54588144.86
2008-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2008-01-01 00:00:00,,,1477257921.79,,88773311.58,,,1583487153.72,,,,,-60384912.28,22143654.79,127014569.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17455920.35,,,,,,,,3166974307.44,,
2008-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2008-01-01 00:00:00,,187413971.46,1481828302.43,,73417342.5,168492139.62,8341797.51,1582751794.03,36636356.27,,,,-156785049.87,-136264351.46,366466743.83,,1479811.42,450811585.32,1226708.99,,551907927.36,84344841.49,-38684986.74,,,,89070.89,43876673.17,,8311813.25,-904819.14,27995598.05,8056065.15,,,,13392381.54,-77331170.32,,8056065.15,43876673.17,,8311813.25,,-17897957.55,10683215.46,16367878.4,,-92254512.9,,,1526551.59,,27506149.1,,,,38688514.3,,291905.59,529365937.07,3165503588.06,-2597166.05,61641465.33
2009-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2009-01-01 00:00:00,,,1582105692.31,,15390632.27,,,1599831497.55,,,,,-232478854.66,-57912994.88,305782481.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335172.97,,,,,,,,3199662995.1,,
2009-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2009-01-01 00:00:00,,271707323.2,1580221228.96,,-40822574.72,299710109.12,2060323.2,1531137110.4,53058605.28,,,,-363153095.52,-282288051.36,604618572.16,,5273194.72,720384963.04,1614800.32,,740265320.96,115766390.88,89004201.28,,,,-5937957.12,13612220.8,817965.92,7637283.52,5168417.6,526527.04,2441571.04,,,,-7092266.4,-23001659.52,,2441571.04,13612220.8,,7637283.52,,-7519299.2,42860885.92,-772180.96,,-105433958.08,,,,18539386.88,-8261543.84,,-43175217.28,,12061695.52,,2376415.52,703921748.0,3062274220.8,-24738846.56,139523502.24
2010-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2010-01-01 00:00:00,,,1517068762.2,,823328531.18,,,2344703410.42,,,,,-182244015.78,742848808.9,262723738.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306117.04,,,,,,,,4689406820.84,,
2010-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2010-01-01 00:00:00,968158371.45,500667640.61,1479750251.4,29110315.3,-167422179.36,307786486.58,39290841.82,1377759483.46,72895769.38,,,,550777206.45,-1145937219.84,427737834.03,,301278573.94,585133505.2,2097542.45,,832985588.16,157395671.17,966656.48,118302245.11,1217680.83,,-5798237.02,15824745.21,-1213426.18,9515099.26,154254037.61,236558.54,4938797.72,,,,-536970867.2,-120478924.05,,4938797.72,15824745.21,,9515099.26,,83391.14,22677284.5,-88538415.57,,-96957516.99,,,,,65431411.42,,-217403254.77,,65749659.24,,12905204.38,925399138.95,2755518966.92,-27209337.68,267069486.08
2011-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2011-01-01 00:00:00,,,1346494237.64,,174997796.6,,,1569624536.6,,,,,-423362772.84,265477220.98,332883348.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48132502.36,,,,,,,,3139249073.2,,
2011-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2011-01-01 00:00:00,,499471459.3,1312622205.4,26769314.0,278782705.3,231866685.6,7883246.8,1635780196.6,110211422.2,,-248274442.9,,-614155513.4,5500599.5,887437619.2,,24267493.8,1059204681.7,2360758.4,,1064259396.2,171767062.5,272766500.6,194003752.8,,,-2824478.8,29967525.5,-3341705.4,11998360.0,-171073914.0,,9151992.3,,,,508276472.0,-61085434.3,,9151992.3,29967525.5,,11998360.0,,12164553.5,23571102.5,,,-146548617.6,,,36204240.6,,44375285.9,,121367464.9,,12012141.9,,29827274.4,807261010.6,3271560393.2,-105938222.5,121587164.6
2012-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2012-01-01 00:00:00,,,1390615319.52,,309923817.84,,,1709706286.26,,,,,-144601277.94,-5616865.8,460141961.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9167148.9,,,,,,,,3419412572.52,,
2012-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2012-01-01 00:00:00,,384395605.25,1383160903.6,,634648240.75,269108952.25,23655737.9,2022854253.05,145455948.95,,-2013340.55,,-427971495.1,-38214549.65,1100834285.5,,5704329.75,1415445707.2,-15519669.0,,1294611218.5,314611421.7,405975567.15,370224379.8,14463942.3,,-1225194.35,44364036.05,194749142.15,5832444.05,-1759544.5,,7824702.5,,,,27513762.2,-113964967.5,,7824702.5,44364036.05,,139810000.4,,-9462619.5,62434639.15,249741.8,,-268714068.3,,,,,5045108.7,,50566227.7,,11195405.95,,11542449.75,1398811119.45,,-3768830.8,391951916.4
2013-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2013-01-01 00:00:00,,,1730668167.75,,392519926.25,,,2095707119.0,,,,,-331867423.05,56321660.85,668065688.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27480975.0,,,,,,,,,,
2013-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2013-01-01 00:00:00,,464925317.05,1961433926.59,,273713394.82,393678726.91,14608939.63,2272529412.99,176070704.89,29029970.29,-636060.07,,-421177121.16,-544172583.67,1239063099.65,,101999976.59,1513277322.98,-24156130.52,,1603910772.46,274214223.33,46198088.57,62881889.17,,,1022885.23,53875624.52,187124312.46,11038669.2,-23303857.2,,1965575.0,,,,-30040275.84,-181120660.18,,1965575.0,53875624.52,,48658988.47,,-3975965.11,87502681.62,-3319463.06,,-283574291.48,,,70484733.27,,37382091.58,,-37535406.43,,64476363.61,,16738050.47,1679788257.3,,-89926628.71,404578233.4
2014-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2014-01-01 00:00:00,,,2294265318.75,,1299743400.0,,,3400386900.0,,,,,615021312.5,-708608406.25,1393330493.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-193621818.75,,,,,,,,,,
2014-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2014-01-01 00:00:00,,596963961.71,2280160103.31,,281275542.85,352594912.94,6302282.43,2498532730.1,204703876.3,6031700.02,-649987858.76,,666513107.52,-2199790027.71,1814552463.04,,58067931.83,2075664488.69,4794751.86,,2052015743.83,261112025.65,152155667.86,1443598178.59,10602412.8,,5364316.0,89610109.91,265685105.04,12445213.12,28163447.87,,33997141.52,,,886689.88,-954669174.51,-62718320.48,,33997141.52,89610109.91,,82235753.15,,27792678.97,211564678.69,-6381169.43,,-204836406.46,,,223105057.92,,-62902916.06,,-280294977.44,,151002339.92,,18028046.11,2209788166.09,,-14983796.78,335478011.68
2015-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2015-01-01 00:00:00,,,2497709250.3,,-152972201.97,,,2353556862.57,,,,,-528706225.08,-1139651855.4,1515385878.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8819814.24,,,,,,,,,,
2015-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2015-01-01 00:00:00,,715222839.36,2653441949.4,,-360569620.86,616046442.96,7560126.72,2120319808.62,295996051.8,36605121.54,378515706.24,,-743582530.14,-1536053712.18,1919066621.46,,146009136.18,2394835181.22,6153494.1,,2767930450.86,475768559.76,663903787.68,665803872.72,,,-6685484.4,62417123.34,272491296.12,194564351.64,-23333848.56,13152308.22,66864897.36,,,,939085195.38,-40651598.94,,66864897.36,62417123.34,,366899048.76,,-28450171.02,,,,15121929.0,,,2242463105.94,210019717.08,-172552519.92,,83881046.94,,496031944.62,,18923774.64,2885217137.52,2120319808.62,-947656522.56,525736272.3
2016-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2016-01-01 00:00:00,,,2121086000.0,,889326000.0,,,3133071000.0,,,,,-802576000.0,251039000.0,1440863000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122659000.0,,,,,,,,,,
2016-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2016-01-01 00:00:00,,963285000.0,2121085000.0,,1328256000.0,714224000.0,9274000.0,3502435000.0,317405000.0,5445000.0,-1359665000.0,,567379000.0,-2233988000.0,2994865000.0,,20956000.0,3577904000.0,8267000.0,,3255252000.0,583039000.0,1046879000.0,2648746000.0,-6377000.0,,-63265000.0,21497000.0,297495000.0,86346000.0,8486000.0,,76648000.0,,,,-112430000.0,-98889000.0,,76648000.0,21497000.0,,95865000.0,,,203728000.0,,,-431623000.0,,,167950000.0,135739000.0,53094000.0,,,,114761000.0,,82899000.0,3203491000.0,,-185973000.0,752510000.0
2017-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2017-01-01 00:00:00,,,3498538000.0,,244020000.0,,,3587964000.0,,,,,-1389331000.0,-1585214000.0,3218565000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-154594000.0,,,,,,,,,,
