REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,OTHER_CURRENT_ASSET,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,UNASSIGN_RPOFIT,中长期存款,储备,其他储备,其他应付款及应计费用,其他流动负债,其他流动资产,其他综合性收益,其他非流动负债,其他非流动资产,可供出售投资,可供出售投资(流动),可转换票据及债券,合营公司权益,商誉,固定资产,土地使用权,在建工程,存货,库存股,应付债券,应付关联方款项(流动),应付关联方款项(非流动),应付票据,应收关联方款项,应收帐款,总权益及非流动负债,总资产减总负债合计,投资物业,拟派股息,持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,指定以公允价值记账之金融资产(流动),无形资产,流动负债其他项目,物业厂房及设备,联营公司权益,股本溢价,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),递延税项负债,递延税项资产,长期投资,非流动负债其他项目,非流动资产其他项目,非运算项目
2007-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2007-06-30 00:00:00,28341209.32,7504520.72,,116523712.4,1714595907.4,1631537563.56,,49208103.08,55147801.64,50028514.2,14469246.0,2308235455.36,1986489116.68,1953283902.24,321746338.68,3831255622.64,334345787.84,2308235455.36,354951553.12,12599449.16,1973889667.52,,,1802218153.48,,228803112.64,,,,,,29055415.2,,,,41021530.36,,,,46888151.92,,,104256.52,,,1501488.76,157687499.32,1986489116.68,,,,,,,,21498279.04,,237550916.72,5092979.72,,,,,5094928.44,4135183.84,,,,
2007-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2007-12-31 00:00:00,33866055.46,7070605.38,20016058.88,188263880.9,1662777721.38,1638931868.3,,51987817.6,52998171.62,34627332.4,17128262.96,2417825861.62,2114813293.62,1941944436.3,303012568.0,3969830765.38,338778538.48,2417825861.62,475881425.32,35765970.48,2079047323.14,,,1795386920.6,,213127579.04,,,,,,59830000.1,,,,41502234.36,,,,65663647.5,,,4263338.14,8278535.58,,1891487.6,187042841.38,2114813293.62,,,42398350.02,,,,,27907869.52,,317807372.0,,,,,,400770.64,1414870.18,,,,
2008-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2008-06-30 00:00:00,60531733.67,6670262.79,20004634.18,276595673.7,1632422635.09,1604301503.47,,170514142.33,49760142.83,109525240.26,27738692.67,2753646598.66,2154361247.33,2203586854.8,599285351.33,3933278221.1800003,648709651.22,2753646598.66,550059743.86,49424299.89,2104936947.44,,,1778581130.91,,397918496.19,,,,,,47097136.9,,,,39106360.77,,,,140477299.28,,,3571188.54,4999839.79,,1600089.4,287063071.72,2154361247.33,,,,,,,,26238828.65,,390796340.02,,,,,,17749563.13,18330694.5,,,,
2008-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2008-12-31 00:00:00,65624080.57,6951056.98,,373044761.34,1653548159.45,1657212412.4,,102586736.14,49914092.11,90148559.58,20607123.63,2881469748.2,2370309548.29,2168372612.31,511160199.91,4304383389.18,542755672.94,2881469748.2,713097135.89,31595473.03,2338714075.26,,,1875824124.5,,324826543.7,,,,,,44167696.87,,,,42052042.76,,,,163364831.16,,,9953892.43,,,2136819.47,316852494.32,2370309548.29,,,39931097.31,,,,,38644419.8,,515113712.78,,,,,,24644416.05,3002835.45,,,,
2009-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2009-06-30 00:00:00,99436584.0,10251312.37,,395609507.28,1665026811.76,1679450405.62,,179509480.01999998,66525542.98,47008468.78,22785787.44,3131372629.06,2451708591.41,2359114443.27,679664037.65,4421735086.34,722700332.25,3131372629.06,772258185.79,43036294.6,2408672296.81,,,1946537246.55,,508014279.11,,,,,,26287224.6,,,,42032231.93,,,,155695828.6,,,2418918.32,,,2717756.99,425991438.73,2451708591.41,,,,,,,,37837030.66,,593076634.93,,,,,,32784982.23,3198190.84,,,,
2009-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2009-12-31 00:00:00,108380044.16,9316358.88,,487430206.08,1608912550.24,1719423356.0,,125548523.68,99668575.04,1000225.28,29263633.28,3316170314.08,2711277032.16,2324316637.92,604893281.92,4844658060.16,650126180.96,3316170314.08,991853676.16,45232899.04,2666044133.12,,,1994719515.68,,463830700.64,,,,,,26255913.6,,,,41984808.32,,,,186105296.64,,,2418678.56,,,2905584.0,421779856.32,2711277032.16,,,84225836.32,,,,47456111.04,48456336.32,,788284058.72,6091160.64,,,,,35916540.16,12390114.56,,,,
2010-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2010-06-30 00:00:00,172013498.25,5221254.15,61694548.41,599263883.58,2346707290.25,2614059057.26,,267404110.41,108103079.24,10019399.15,23845035.87,4642288164.55,3752918837.98,3503428383.83,889369326.57,6688301814.38,998505315.57,4642288164.55,1138859780.72,109135989.0,3643782848.98,,,2936415886.16,,681066149.1,,,,,,26014669.8,,,,41625216.46,,,,240637440.43,,,2425244.2,,,3317699.17,574911989.12,3752918837.98,,,,,,,178889676.23,50882146.75,,894099425.15,5522228.7,,,,,42220186.44,12276272.08,,,,
2010-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2010-12-31 00:00:00,135736098.95,21908894.71,108120867.66,556391642.59,1989895550.35,2496763917.87,,203031898.0,105443841.88,24026859.48,45500928.96,4782937977.48,3850693106.68,3429008788.67,932244870.8,6764240836.690001,1122621737.84,4782937977.48,1353929188.81,190376867.04,3660316239.64,,,2914125511.48,,724560087.56,,,,,,25374732.6,,,,57274396.44,,,,314127616.94,,,2420895.85,,,91255435.06,532603894.44,3850693106.68,,,84355243.69,,,,417996387.39,55443195.08,,1057705139.07,24964584.34,,,,,60347104.67,13265147.77,,,,
2011-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2011-06-30 00:00:00,196156704.26,53730136.58,108110600.0,576083964.5,1820931784.4,2366464524.96,,399090279.9,103051023.92,44045090.06,24800571.64,5325685332.18,3795296627.18,3896853229.96,1530388705.0,6569715669.62,1752785515.12,5325685332.18,1428832102.22,222396810.12,3572899817.06,,,2893764828.64,,1257932528.98,,,,,,32923835.8,,,,56031229.12,,,,341098922.44,,,7453810.06,,,295225100.0,761152679.3,3795296627.18,,,,,,,398637878.62,54870287.6,,1131203620.42,21555590.4,,,,,60556073.54,12964124.18,,,,
2011-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2011-12-31 00:00:00,176879336.7,49187601.1,28008874.3,762349852.0,1453155429.0,1701266921.2,,556862533.7,100150635.2,41013313.0,37456772.1,5033526044.8,3986107319.7,2748685646.3,1047418725.1,6982048359.0,1161326939.3,5033526044.8,2284840398.5,113908214.2,3872199105.5,,,2969637877.8,,777598308.3,,,,,,47541069.4,,,,31424353.4,,,,334435638.9,,,14470995.0,,,747465.4,650438391.9,3986107319.7,,,40060740.5,,,,106311144.5,57581588.9,,1271486476.7,495780342.2,,,,,36711738.8,27761610.8,,,,
