REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,其他营业收入,应占合营公司溢利,应占联营公司溢利,终止或非持续业务溢利,股息,销售成本,非控股权益应占全面收益总额
2015-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2015-01-01 00:00:00,0.098733972,,0.098733972,34416517.62,4525827269.73,731972029.8,202302911.91,,383606716.74,226073194.53,958045224.33,,,,11739106510.2,1046672370.57,217832220.03,738407087.4,2457253557.3,1160348136.24,965697107.16,7651882.83,7651882.83,856126845.15,,,,148092283.29,,,1343725985.37,227290019.76
2015-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2015-01-01 00:00:00,0.2010672,,0.2010672,66864897.36,9467356347.84,1490152583.76,446432855.28,,1033859057.88,948631698.48,2438784282.24,,,,24379775001.0,2679590738.76,328102294.74,1231958841.12,4940628265.08,2885217137.52,2078285872.68,-360498409.56,-360498409.56,1141380580.86,,,,272491296.12,,,2722531152.66,846327031.56
2016-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2016-01-01 00:00:00,0.1181,,0.1181,27862000.0,5315401000.0,875596000.0,219617000.0,,417999000.0,286246000.0,1161842000.0,,,,13536406000.0,1237027000.0,124687000.0,983602000.0,2830705000.0,1381459000.0,1270333000.0,108491000.0,108491000.0,954357000.0,,,,172294000.0,,,1452802000.0,286731000.0
2016-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2016-01-01 00:00:00,0.2209,,0.2209,76648000.0,10726759000.0,1637378000.0,474984000.0,,1039434000.0,1091129000.0,2728507000.0,,-1368192000.0,,27086758000.0,2982644000.0,274531000.0,1735105000.0,5453137000.0,3203491000.0,2838887000.0,110380000.0,110380000.0,1526075000.0,,,,297495000.0,,,2816620000.0,1103782000.0
2017-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2017-01-01 00:00:00,0.0947,,0.0947,34127000.0,5914446000.0,1100582000.0,285637000.0,,254581000.0,298050000.0,1398632000.0,,-1155532000.0,,14965718000.0,1540620000.0,223739000.0,988528000.0,3169426000.0,1684269000.0,1285332000.0,-113300000.0,-113300000.0,1173558000.0,,,,177776000.0,,,1568413000.0,296804000.0
2017-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2017-01-01 00:00:00,0.1953,,0.1953,77945000.0,11728677000.0,2170951000.0,542292000.0,,986945000.0,1482596000.0,3653547000.0,,,,29638604000.0,3864708000.0,642861000.0,1955372000.0,5917879000.0,4195839000.0,3455980000.0,-197567000.0,-197567000.0,1602006000.0,,,,409076000.0,,,3090625000.0,1500608000.0
2018-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2018-01-01 00:00:00,0.111,,0.111,51160000.0,7866731000.0,1365669000.0,428779000.0,,462991000.0,603222000.0,1968891000.0,,-1254654000.0,,19450464000.0,2385725000.0,337014000.0,1438428000.0,3977362000.0,2397670000.0,2042416000.0,73525000.0,73525000.0,1377667000.0,,,,63105000.0,,,1858501000.0,603988000.0
2018-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2018-01-01 00:00:00,0.7316,,0.7316,153264000.0,16691652000.0,9046347000.0,696236000.0,,2189501000.0,1686498000.0,10732845000.0,,-1904598000.0,,41777168000.0,11522435000.0,7443161000.0,9117482000.0,8078544000.0,11429081000.0,10836905000.0,104060000.0,104060000.0,2344333000.0,,,,59910000.0,,,4196932000.0,1719423000.0
2019-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2019-01-01 00:00:00,0.1147,,0.1147,86230000.0,10075163000.0,1444349000.0,449647000.0,,1038588000.0,739452000.0,2183801000.0,,-1625550000.0,,25054618000.0,2712008000.0,271574000.0,1442076000.0,4934258000.0,2633448000.0,2180253000.0,-3548000.0,-3548000.0,1661883000.0,,,,7670000.0,,,2452146000.0,738177000.0
2019-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2019-01-01 00:00:00,0.1468,,0.1468,229950000.0,19307762000.0,2761542000.0,902747000.0,,2477418000.0,2026303000.0,4787845000.0,,-2398712000.0,,48468060000.0,5809157000.0,862603000.0,2847678000.0,9319541000.0,5690592000.0,4874671000.0,86826000.0,86826000.0,2564249000.0,,,,111385000.0,,,4926268000.0,2026993000.0
