REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,受限制存款及现金增加(减少),吸收投资所得,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(融资),已收利息(投资),已收股息(投资),应付帐款及应计费用增加(减少),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,贷款和垫款(增加)减少,除税前溢利(业务利润),预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2022-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2022-01-01 00:00:00,,,23511579000.0,1038588000.0,4229710000.0,2717280000.0,14608000.0,28183102000.0,,-417353000.0,,,3633776000.0,7627358000.0,-7031424000.0,595934000.0,,-5118325000.0,,,1913099000.0,10202349000.0,15425360000.0,,669994000.0,,,,,,,,,,536700000.0,,,695355000.0,,,445399000.0,92511000.0,,,51031414000.0,60128179000.0,441813000.0,,,,,,
2022-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2022-01-01 00:00:00,,,23511579000.0,,3517159000.0,,,28071099000.0,,,,,-4237818000.0,16256913000.0,-8501936000.0,7754977000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042361000.0,,,,,,
2022-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2022-01-01 00:00:00,,255576000.0,23511579000.0,2386143000.0,3304244000.0,5799570000.0,17334000.0,27607261000.0,3707393000.0,-939560000.0,,,-7854799000.0,15548773000.0,-4389730000.0,11159043000.0,25106000.0,-969453000.0,2497358000.0,20285396000.0,3420277000.0,23655586000.0,19857851000.0,,1281785000.0,7345000.0,1663941000.0,-147491000.0,-998602000.0,-1662010000.0,8463389000.0,546483000.0,,,806000000.0,,350688000.0,2272482000.0,-5448990000.0,,1301900000.0,201561000.0,-20514286000.0,4346873000.0,81986975000.0,99567147000.0,791438000.0,1353124000.0,,-2545224000.0,3933956000.0,1743564000.0,-540598000.0
2023-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2023-01-01 00:00:00,,,27607261000.0,,-1270238000.0,,,26180952000.0,,,,,-866848000.0,-1622151000.0,1218761000.0,-403390000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-156071000.0,,,,,,
2023-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2023-01-01 00:00:00,,1053866000.0,27607261000.0,439006000.0,3383118000.0,3722137000.0,61112000.0,31458952000.0,,-168954000.0,,,-2286696000.0,-14492197000.0,20162011000.0,5669814000.0,,21430534000.0,,,1268523000.0,1402063000.0,898693000.0,,589078000.0,,,,,,,,,,467578000.0,,,-8915372000.0,,,1519206000.0,125767000.0,,,27197242000.0,23636469000.0,468573000.0,,,,,,
2023-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2023-01-01 00:00:00,,,27607261000.0,,3620162000.0,,,31652566000.0,,,,,-548255000.0,-29321565000.0,33489982000.0,4168417000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425143000.0,,,,,,
2023-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2023-01-01 00:00:00,,2884215000.0,27607261000.0,1356825000.0,5626469000.0,6268900000.0,72833000.0,33631313000.0,4836287000.0,-1326991000.0,-18144000.0,,-504972000.0,-35169054000.0,41300495000.0,6131441000.0,,44312243000.0,3378670000.0,26992771000.0,3011748000.0,4022423000.0,8866088000.0,101294000.0,1197692000.0,1592633000.0,3558347000.0,203184000.0,124405000.0,3501053000.0,4190419000.0,1555970000.0,,,1417086000.0,,-659788000.0,-23561379000.0,2173795000.0,,3258117000.0,197583000.0,11147623000.0,-1652782000.0,62187239000.0,53236781000.0,397583000.0,3592484000.0,,-1983565000.0,22011047000.0,1600556000.0,3101149000.0
2024-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2024-01-01 00:00:00,,,33631313000.0,,1312897000.0,,,34896211000.0,,,,,-111044000.0,10710999000.0,-9287058000.0,1423941000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47999000.0,,,,,,
2024-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2024-01-01 00:00:00,,588720000.0,33631313000.0,3032539000.0,5694953000.0,2267908000.0,254311000.0,39335820000.0,,-1442570000.0,,,455300000.0,2709078000.0,2530575000.0,5239653000.0,,5021874000.0,,,2491299000.0,7759247000.0,12436649000.0,,698802000.0,,,,,,,,,,1540529000.0,769837000.0,,276150000.0,,,1850478000.0,123761000.0,,,35218444000.0,36920893000.0,9554000.0,,,,,,
2024-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2024-01-01 00:00:00,,,33631313000.0,,5970295000.0,,,39655354000.0,,,,,-3099077000.0,-6319313000.0,15388685000.0,9069372000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53746000.0,,,,,,
2024-12-31,01810.HK,01810,小米集团-W,10932245,001,12-31,2024-01-01 00:00:00,,1790035000.0,33631313000.0,4047876000.0,-89868000.0,7297307000.0,358488000.0,33661442000.0,6318269000.0,-4394389000.0,-3784000.0,,-3998976000.0,-35386391000.0,39295499000.0,3909108000.0,,42762717000.0,3778136000.0,38768109000.0,3467218000.0,19265488000.0,25998066000.0,,2476524000.0,644746000.0,3836204000.0,575492000.0,-319630000.0,1050772000.0,6120188000.0,212447000.0,,,2053079000.0,1544837000.0,-735361000.0,-23446909000.0,-24131971000.0,,3646092000.0,427139000.0,36092511000.0,-8387158000.0,118367260000.0,107752313000.0,119997000.0,1200898000.0,75809000.0,-2567194000.0,28126653000.0,-5353379000.0,7876262000.0
2025-03-31,01810.HK,01810,小米集团-W,10932245,003,12-31,2025-01-01 00:00:00,,,33661400000.0,,52507700000.0,,,86171900000.0,,,,,38077400000.0,9920800000.0,4509500000.0,14430300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000.0,,,,,,
2025-06-30,01810.HK,01810,小米集团-W,10932245,002,12-31,2025-01-01 00:00:00,39225991000.0,1991175000.0,33661442000.0,207072000.0,2360405000.0,5085940000.0,7634000.0,36008030000.0,,-1222947000.0,,,34434304000.0,-60128639000.0,28054740000.0,-32073899000.0,,32008513000.0,,,3953773000.0,12920591000.0,11721938000.0,,1254754000.0,,,,,,,,,,1082914000.0,,,-56029958000.0,,,1829829000.0,180842000.0,,,51741481000.0,50710435000.0,-13817000.0,,,,,,
2025-09-30,01810.HK,01810,小米集团-W,10932245,004,12-31,2025-01-01 00:00:00,,,33661442000.0,,1825409000.0,,,35547957000.0,,,,,30518153000.0,-62221104000.0,33528360000.0,-28692744000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61106000.0,,,,,,
