REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:政府补助,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,受限制存款及现金增加(减少),吸收投资所得,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(经营),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收帐款减少,投资支付现金,收回投资所得现金,政府补助(投资),期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2010-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2010-01-01 00:00:00,,,1192943000.0,,-99540000.0,,,1131127000.0,,,,-150965000.0,-321301000.0,372726000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37724000.0,,,,,,1131127000.0,,
2010-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2010-01-01 00:00:00,,,1192943000.0,,344744000.0,614910000.0,25868000.0,1559025000.0,588386000.0,,,,-603173000.0,947917000.0,,,1142664000.0,2828000.0,-150965000.0,1741681000.0,62226000.0,,,,,-17616000.0,18960000.0,,,12695000.0,516000.0,,,,,,,-144861000.0,516000.0,,18960000.0,112103000.0,-43922000.0,14891000.0,-760965000.0,,,,21338000.0,,,14131000.0,,1138600000.0,,40350000.0,183387000.0
2011-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2011-01-01 00:00:00,,,1559025000.0,,918278000.0,,,2471110000.0,,,,,-325838000.0,1244116000.0,918278000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6193000.0,,,,,,2471110000.0,,
2011-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2011-01-01 00:00:00,,,1559025000.0,,559217000.0,1296194000.0,61785000.0,2106993000.0,686666000.0,,-455430000.0,-213000.0,-1790054000.0,2349484000.0,559430000.0,,2439424000.0,246000.0,,1395269000.0,133802000.0,,,,,1991000.0,43862000.0,,,79624000.0,213000.0,,,,,,-100000000.0,54260000.0,,213000.0,43862000.0,-60521000.0,678086000.0,-147942000.0,376145000.0,,,,-11249000.0,44901000.0,,215000.0,,674373000.0,4213986000.0,64146000.0,35080000.0
2012-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2012-01-01 00:00:00,,,2106993000.0,,533175000.0,,,2635909000.0,,,,,-374244000.0,907419000.0,533175000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4259000.0,,,,,,5271818000.0,,
2012-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2012-01-01 00:00:00,,120561000.0,2106993000.0,,-15751000.0,769690000.0,53422000.0,2111365000.0,695996000.0,,,-123081000.0,-636371000.0,743701000.0,,,760013000.0,2585000.0,,1139588000.0,79590000.0,,,,,-4067000.0,63278000.0,,,67390000.0,2520000.0,,,,,,83468000.0,2863000.0,,2520000.0,63278000.0,-103527000.0,-777140000.0,-77023000.0,676362000.0,,,,20123000.0,,,3571000.0,,430308000.0,,-16864000.0,-84246000.0
2013-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2013-01-01 00:00:00,,,2111365000.0,,-138712000.0,452607000.0,28281000.0,1961124000.0,336080000.0,,,-2514000.0,-527140000.0,390942000.0,-136198000.0,,412734000.0,1499000.0,,684896000.0,55385000.0,,,,,-1249000.0,33593000.0,,,20350000.0,2514000.0,,,,,,-100657000.0,-412135000.0,,2514000.0,33593000.0,98489000.0,996585000.0,116225000.0,-1084403000.0,,,,-11529000.0,,,2157000.0,,356797000.0,3922248000.0,-85320000.0,98397000.0
2013-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2013-01-01 00:00:00,,,2111365000.0,,274347000.0,1043723000.0,54918000.0,2375234000.0,632923000.0,,,-7248000.0,-1365506000.0,1647101000.0,,,1661363000.0,2872000.0,,1385607000.0,93977000.0,,,,,-3168000.0,79715000.0,,,67546000.0,7248000.0,,,,,,-270319000.0,-170319000.0,,7248000.0,79715000.0,302700000.0,1084022000.0,-45019000.0,-691804000.0,,,,-10478000.0,,,106382000.0,,751565000.0,,-218558000.0,14734000.0
2014-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2014-01-01 00:00:00,,,2375234000.0,,-686792000.0,253200000.0,12368000.0,1717238000.0,415654000.0,,-33000.0,-3487000.0,-316982000.0,-366323000.0,-683305000.0,,-367810000.0,2471000.0,,1089920000.0,58117000.0,,,,,-3838000.0,59604000.0,,,68836000.0,3487000.0,,,,,,-75286000.0,-171108000.0,,3487000.0,59604000.0,659258000.0,-343267000.0,-58248000.0,-1732864000.0,,,,28796000.0,,,831000.0,,655238000.0,,168205000.0,20294000.0
2014-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2014-01-01 00:00:00,,64892000.0,2375234000.0,,-638552000.0,1960138000.0,65095000.0,1740182000.0,906689000.0,,,-70422000.0,-1864222000.0,1296092000.0,,,1301907000.0,4931000.0,,1987182000.0,111183000.0,,,,,-17607000.0,105368000.0,,,145589000.0,5530000.0,,,,,,45891000.0,-625390000.0,,5530000.0,105368000.0,,1995158000.0,,-2196574000.0,,,,3500000.0,,,15070000.0,,1012204000.0,,15811000.0,125720000.0
2015-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2015-01-01 00:00:00,,,1740182000.0,,-42459000.0,2005536000.0,1989000.0,1704536000.0,563508000.0,,,-1592000.0,-2170455000.0,2129588000.0,-40867000.0,,2145668000.0,2464000.0,,1087966000.0,57246000.0,,,,,-1813000.0,41166000.0,,,41582000.0,1592000.0,,,,,,-166265000.0,-697126000.0,,1592000.0,41166000.0,,-598524000.0,,1111949000.0,,,,6813000.0,,,643000.0,,518173000.0,,129968000.0,1111435000.0
2015-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2015-01-01 00:00:00,,,1740182000.0,,237934000.0,3120303000.0,31530000.0,1958902000.0,1294870000.0,,,-3089000.0,-3117766000.0,3358789000.0,,,3368910000.0,4929000.0,,2312568000.0,67487000.0,,,,,-2142000.0,57366000.0,,,28467000.0,3089000.0,,,,,,-28795000.0,-1533082000.0,,3089000.0,57366000.0,29055000.0,2945769000.0,-4786000.0,-1916495000.0,,,,-19214000.0,,,198000.0,,1036437000.0,,74176000.0,1461705000.0
2016-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2016-01-01 00:00:00,,,1958902000.0,,284431000.0,1001969000.0,50009000.0,2278961000.0,852619000.0,,152205000.0,-8691000.0,-939438000.0,1232560000.0,293122000.0,,1291949000.0,2465000.0,,1531281000.0,118378000.0,,,,,-2292000.0,58989000.0,8000.0,,26117000.0,8691000.0,,,,,,-123150000.0,-155888000.0,,8691000.0,58989000.0,-24822000.0,-2059111000.0,3669000.0,2132217000.0,,,,35628000.0,,,16533000.0,,698094000.0,,92072000.0,-227469000.0
2016-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2016-01-01 00:00:00,,150965000.0,1958902000.0,,925481000.0,1862246000.0,10256000.0,2966064000.0,1735676000.0,,,-177918000.0,-1851074000.0,2954473000.0,,,3088569000.0,4939000.0,,3292830000.0,243008000.0,,,-5288000.0,,-49387000.0,108912000.0,,,151703000.0,26953000.0,,,,,,22395000.0,494734000.0,,26953000.0,108912000.0,-26295000.0,1106255000.0,4786000.0,-1524703000.0,,,,81681000.0,,,16191000.0,,1433084000.0,,-38910000.0,-220128000.0
2017-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2017-01-01 00:00:00,,,2966064000.0,,-322597000.0,1031836000.0,25891000.0,2646708000.0,768193000.0,,174369000.0,-20396000.0,-767029000.0,464828000.0,-302201000.0,,547297000.0,2473000.0,,2369818000.0,113242000.0,,,,,-18969000.0,30773000.0,288000.0,,60820000.0,20396000.0,,,,,,,-1029875000.0,,20396000.0,30773000.0,-2760000.0,-2754445000.0,,2217525000.0,13779000.0,,80313000.0,3241000.0,,,1987000.0,,1530028000.0,,14370000.0,-267336000.0
2017-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2017-01-01 00:00:00,,155471000.0,2966064000.0,,-151864000.0,2243384000.0,116112000.0,2822267000.0,1594467000.0,,,-199511000.0,-1815747000.0,1863394000.0,,,2151823000.0,5669000.0,,4690917000.0,338383000.0,,,,,-28924000.0,49954000.0,2295000.0,,77939000.0,44040000.0,,,,-7687000.0,,247289000.0,-1374007000.0,,44040000.0,49954000.0,-1820000.0,-1605123000.0,,864205000.0,13779000.0,,158693000.0,8067000.0,,,72991000.0,,2992127000.0,,-255219000.0,-167130000.0
2018-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2018-01-01 00:00:00,,,2822267000.0,,203295000.0,1328380000.0,3048000.0,3041001000.0,948450000.0,,-55924000.0,-23902000.0,-1333054000.0,1560251000.0,227197000.0,,1770007000.0,-98000.0,,2319727000.0,231992000.0,,,,,-8927000.0,22236000.0,29854000.0,-2109000.0,52607000.0,23902000.0,,,,,,71000.0,-265031000.0,,23902000.0,22236000.0,-940000.0,-1311091000.0,-1378000.0,617060000.0,,,51069000.0,15439000.0,24850000.0,,2938000.0,-73000000.0,1335920000.0,,362048000.0,97762000.0
2018-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2018-01-01 00:00:00,,518237000.0,2822267000.0,,1927841000.0,2316587000.0,40346000.0,4741377000.0,1933051000.0,,-148711000.0,-561042000.0,-2291994000.0,4780877000.0,,,5104216000.0,,,4495972000.0,374139000.0,,,,,-8180000.0,50800000.0,79783000.0,-7076000.0,99611000.0,42805000.0,,,,,,71000.0,-202232000.0,,42805000.0,50800000.0,-940000.0,-865550000.0,-2830000.0,1203360000.0,19785000.0,25728000.0,124030000.0,-8731000.0,,,-2914000.0,-65000000.0,2535832000.0,,352384000.0,189052000.0
2019-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2019-01-01 00:00:00,,,4741377000.0,,-2293238000.0,1083830000.0,18953000.0,2447681000.0,1112317000.0,,-78933000.0,-90910000.0,-1166457000.0,-1035871000.0,-2202328000.0,,-966584000.0,,,1753876000.0,100372000.0,,,,90910000.0,-7432000.0,31085000.0,5370000.0,3209000.0,41373000.0,13625000.0,,,,,,-20000000.0,-960194000.0,,,31085000.0,,-1622585000.0,372000.0,35103000.0,,,,-458000.0,,,2647000.0,-4360000.0,618793000.0,,-212471000.0,43675000.0
2019-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2019-01-01 00:00:00,,439375000.0,4741377000.0,,-3096605000.0,2744728000.0,23135000.0,1650730000.0,2275909000.0,,,-623003000.0,-2852244000.0,378642000.0,,,402429000.0,,,3998068000.0,77470000.0,,,,183149000.0,-17239000.0,53683000.0,9585000.0,67000.0,40837000.0,31218000.0,,,,,,-20314000.0,-657994000.0,,479000.0,53683000.0,,-909153000.0,930000.0,-2379195000.0,,,,5958000.0,,,110337000.0,-4005000.0,1696200000.0,,-60964000.0,414742000.0
2020-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2020-01-01 00:00:00,,,1650730000.0,,3988739000.0,1131383000.0,5031000.0,5640274000.0,974359000.0,,,1690580000.0,-1209412000.0,3507571000.0,,,3497032000.0,,,3914758000.0,14016000.0,349055000.0,2157317000.0,,107354000.0,-46372000.0,24555000.0,3355000.0,4402000.0,68102000.0,27627000.0,,,,,,19896000.0,216085000.0,,10328000.0,24555000.0,,776088000.0,358000.0,-2863856000.0,,,,805000.0,,,102956000.0,4342000.0,2830610000.0,,-137392000.0,1586649000.0
2020-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2020-01-01 00:00:00,,159978000.0,1650730000.0,,1798673000.0,2803954000.0,9263000.0,3465889000.0,2042129000.0,,,1570230000.0,-2980502000.0,3208945000.0,,,3535414000.0,,,8280677000.0,376937000.0,349055000.0,2357317000.0,,242698000.0,-83536000.0,50468000.0,81072000.0,7236000.0,1653000.0,71333000.0,,,,,,19827000.0,-1493792000.0,,35356000.0,50468000.0,,1649065000.0,1900000.0,-4868104000.0,100000000.0,,,16486000.0,,,105638000.0,106072000.0,6220802000.0,,-749537000.0,609133000.0
2021-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2021-01-01 00:00:00,,,3465889000.0,,-325410000.0,2003534000.0,11843000.0,3132106000.0,1279763000.0,,,-1955268000.0,-2077054000.0,3706912000.0,1629858000.0,,3783703000.0,1802000.0,,3001008000.0,112334000.0,2127107000.0,327920000.0,,142508000.0,-7785000.0,35543000.0,46107000.0,-698000.0,17051000.0,29352000.0,,,,,,487000.0,-2959207000.0,,13573000.0,35543000.0,,19519000.0,,4560969000.0,80800000.0,,,-8373000.0,,,5050000.0,37392000.0,1746207000.0,,-217598000.0,-658380000.0
2021-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2021-01-01 00:00:00,,543022000.0,3465889000.0,,-627832000.0,3928749000.0,36641000.0,2824741000.0,2557006000.0,,400000000.0,-3198388000.0,-3764419000.0,6334975000.0,2570556000.0,,6394019000.0,,,5257289000.0,138642000.0,2868498000.0,877054000.0,,295814000.0,-21883000.0,79598000.0,63041000.0,409000.0,312826000.0,43329000.0,,-353258000.0,,,,,-3996503000.0,,14850000.0,79598000.0,,3601247000.0,,2251667000.0,155800000.0,,,-13316000.0,,,116511000.0,66024000.0,2465293000.0,,-425669000.0,-360036000.0
2022-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2022-01-01 00:00:00,,,2824741000.0,,1351297000.0,2227978000.0,45674000.0,4162474000.0,1426504000.0,,,239874000.0,-2163246000.0,3274669000.0,1111423000.0,,3387472000.0,-2771000.0,,2156780000.0,128223000.0,755159000.0,764507000.0,,119956000.0,-4576000.0,15420000.0,7434000.0,,37686000.0,24704000.0,,351244000.0,,,-56580000.0,2501000.0,-1233493000.0,,762000.0,15420000.0,,2280403000.0,,-457636000.0,,17186000.0,,-13564000.0,,,629000.0,20520000.0,688935000.0,,321382000.0,356096000.0
2022-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2022-01-01 00:00:00,,232080000.0,2824741000.0,,3446197000.0,4174628000.0,137846000.0,6243678000.0,2916884000.0,-755159000.0,,1761072000.0,-4276083000.0,5961208000.0,1685125000.0,,6101018000.0,18847000.0,,4959521000.0,191317000.0,,2764507000.0,,341266000.0,-31963000.0,51507000.0,31436000.0,,77669000.0,58531000.0,,333112000.0,,,,,-6553633000.0,,8042000.0,51507000.0,,10303751000.0,,-3602918000.0,180000000.0,13779000.0,,-27260000.0,140330000.0,,73080000.0,111957000.0,1938570000.0,,298773000.0,443237000.0
2023-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2023-01-01 00:00:00,,,6243678000.0,,978217000.0,2153287000.0,60281000.0,7212917000.0,1574171000.0,,,788179000.0,-2160587000.0,2350625000.0,190038000.0,,2486415000.0,-17584000.0,,3267953000.0,198783000.0,1500000000.0,2500000000.0,,175087000.0,-17543000.0,62993000.0,25903000.0,,54022000.0,58816000.0,,,,,6106000.0,,-905187000.0,,36734000.0,62993000.0,,357592000.0,,-306252000.0,,,,-8978000.0,86902000.0,,67581000.0,123820000.0,1669881000.0,,-120327000.0,-24192000.0
2023-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2023-01-01 00:00:00,,371779000.0,6243678000.0,,4330359000.0,3851371000.0,261336000.0,10537361000.0,3159502000.0,,,11822818000.0,-17735377000.0,10242918000.0,-7492459000.0,14077769000.0,10270687000.0,-49287000.0,,7960974000.0,268308000.0,7864048000.0,20490655000.0,,361414000.0,-147049000.0,240539000.0,64958000.0,,139456000.0,188610000.0,,11633000.0,,,,,1604308000.0,,82229000.0,240539000.0,,4246862000.0,,-4571731000.0,,,,-36676000.0,208655000.0,,67573000.0,124837000.0,4681141000.0,,226861000.0,469921000.0
2024-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2024-01-01 00:00:00,,,10537361000.0,,-2439180000.0,1599800000.0,49469000.0,8130150000.0,3080246000.0,,,-1067246000.0,-1554924000.0,182990000.0,-1371934000.0,,521536000.0,-54161000.0,,4988109000.0,498346000.0,10310023000.0,9500000000.0,,181055000.0,-16849000.0,159800000.0,36859000.0,,196713000.0,309341000.0,,-4169000.0,,,,,-2259267000.0,,71999000.0,159800000.0,,-1238029000.0,,-291567000.0,,,,31969000.0,12191000.0,,4593000.0,146000.0,1635780000.0,,538692000.0,-1228739000.0
2024-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2024-01-01 00:00:00,,1212224000.0,10537361000.0,,-3523499000.0,2848294000.0,199849000.0,7052024000.0,6398377000.0,,,-7581858000.0,-2655312000.0,6713671000.0,4058359000.0,,7015962000.0,-54446000.0,,11899988000.0,610288000.0,26190111000.0,20800000000.0,,555296000.0,-191737000.0,307997000.0,84289000.0,,495336000.0,520854000.0,,8950000.0,,,,,1380000.0,,433177000.0,307997000.0,,5348825000.0,,-9513177000.0,,,,38162000.0,116931000.0,,6867000.0,33691000.0,4740416000.0,,-286665000.0,-585011000.0
2025-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2025-01-01 00:00:00,,,7052024000.0,,6010153000.0,2134624000.0,287329000.0,13080158000.0,3009222000.0,,,-1749567000.0,-2242428000.0,10002148000.0,7759720000.0,389284000.0,10300173000.0,-5424000.0,,4931743000.0,471059000.0,6497631000.0,5300000000.0,,249724000.0,111027000.0,173034000.0,30221000.0,,156606000.0,174933000.0,14218000.0,-170025000.0,,,,,-1850330000.0,,94116000.0,173034000.0,,-8174595000.0,,15385266000.0,,,,17981000.0,120780000.0,38071000.0,5849000.0,-11356000.0,1896470000.0,,-185622000.0,84287000.0
